Sun Jul 12 17:32:24 PDT 2015 --  The official @TennisAustralia email listing upcoming matches, renaming Hall of Fame event in honour of Tomic #Shame pic.twitter.com/0mMy3xtPEn
Sun Jul 12 19:22:19 PDT 2015 --  TV REMOTES: Smarter remote controls for our smart TVs. Tech reporter @DjuroSen​ will show us on 7 News at 6pm. https://amp.twimg.com/v/fb17d341-a15d-4416-a6ca-8afab41f787e …
Sat Jul 11 04:02:36 PDT 2015 --  pic.twitter.com/YaJnCoF5Ut
Sat Jul 11 04:02:51 PDT 2015 --  Come on - that was a goal every day of the week #rubbishreview @GeelongCats ripped off.
Fri Jul 10 00:50:06 PDT 2015 --  Not near a TV? You can LIVE STREAM our 6PM Sydney bulletin right here: http://yhoo.it/1G4foNb 
Thu Jul 09 05:29:55 PDT 2015 --  Setting up for outback dusk interview during the filming of #goldstone - this is a video frame. Real thing is amazing pic.twitter.com/z9jg9ByA3w
Thu Jul 09 04:56:56 PDT 2015 --  Nice work from a top lad from Ireland - remembering old mates. Good job John, love it. https://twitter.com/outtheline/status/619037733118472192 …
Thu Jul 09 02:13:00 PDT 2015 --  They've been putting on a show for weeks - Jupiter and Venus over Sydney Harbour tonight. #venusjupiter pic.twitter.com/plOkdYUVte
Wed Jul 08 23:44:11 PDT 2015 --  Brilliant https://twitter.com/Independent/status/619033753952763904 …
Wed Jul 08 23:42:05 PDT 2015 --  In case you missed it this morning, @tomhawkins_ has signed a long-term deal with #MightyCats http://bit.ly/HawkinsSigns  pic.twitter.com/FxUG1mFBEN
Wed Jul 08 14:43:04 PDT 2015 --  Hope everyone is enjoying #NAIDOC2015 - follow this deadly fulla @dannynitv if you want to stay informed about Indigenous issues #myman
Tue Jul 07 13:22:00 PDT 2015 --  Lightning death hiker ‘was using selfie stick’ http://sunpl.us/6011B8dxN  pic.twitter.com/cCCJ5Uwv8V
Tue Jul 07 06:06:51 PDT 2015 --  This is the direct link to the Whizz app on. iOS https://itunes.apple.com/au/app/whizz/id965950683?mt=8 … https://twitter.com/7newssydney/status/618366281499086848 …
Tue Jul 07 05:52:04 PDT 2015 --  Jurassic World's trailers gave too much away, says @colintrevorrow http://www.telegraph.co.uk/film/jurassic-world/trailer-colin-trevorrow/ … pic.twitter.com/sY1tPS2zIY
Tue Jul 07 02:07:11 PDT 2015 --  LG launches Australia's first 4K Ultra HD OLED televisions @LGUS #OLEDISHERE http://www.techguide.com.au/news/televisions-news/lg-launches-australias-first-4k-ultra-hd-oled-televisions/ … pic.twitter.com/R1G1u67Seb
Tue Jul 07 05:12:49 PDT 2015 --  @7NewsSydney @DjuroSen I would be happy just to get the chocolates on my pillow.
Tue Jul 07 05:01:56 PDT 2015 --  The Whizz app is iOS exclusive at the moment - this is the direct link https://twitter.com/mml_brodie/status/618388872037167104 …
Tue Jul 07 03:35:54 PDT 2015 --  Just saw this in person #wow https://twitter.com/7newssydney/status/618367023844737024 …
Sun Jul 05 14:22:04 PDT 2015 --  Nicolas Cage almost played Superman and this is what it would have looked like http://ind.pn/1CiymVw  pic.twitter.com/pW8wpuNqkN
Sun Jul 05 03:23:57 PDT 2015 --  @sundaynighton7 now!
Sun Jul 05 00:44:47 PDT 2015 --  We're live from Brisbane tonight for the latest on the Blues & Robbie Farah ahead of the Origin decider @7NewsSydney pic.twitter.com/m5lCLNgOqy
Sat Jul 04 02:29:07 PDT 2015 --  GLORY GLORY HALLELUJAH ! #Highlanders you beauties ! Our underdogs no more. Gutsed it out ! Best game ever #HURvHIG Congratulations boys !
Sat Jul 04 02:29:45 PDT 2015 --  Tense stuff - Kiwis looking awesome https://twitter.com/pdwnews/status/617262980279877632 …
Sat Jul 04 02:23:44 PDT 2015 --  Well done @Highlanders - been a joy to watch all year - @SuperRugby champs at last pic.twitter.com/CaqK4EVCtA
Sat Jul 04 00:52:25 PDT 2015 --  @7NewsSydney @DjuroSen I would like the car radio display to show the name of the tune that is playing and the artist performing it.
Fri Jul 03 21:02:15 PDT 2015 --  Drama at 7 News today - fire in master control https://instagram.com/p/4szkCkv7zG/ 
Thu Jul 02 19:20:40 PDT 2015 --  Can't see how the Wallabies go to a World Cup without Benn Robinson. There'll be a few scrums, just quietly.
Fri Jul 03 20:31:02 PDT 2015 --  I'm blown away by this woman. pic.twitter.com/tLzx5G8zTh
Fri Jul 03 15:28:09 PDT 2015 --  Happy to report Lauren - the learner scooter rider in our head up displays story on @7NewsSydney is now a P plater! pic.twitter.com/jetw9bz491
