Tue Aug 05 14:33:17 PDT 2014 --  £10m for #JackRodwell ?! £10m for someone that has done the square root of f*ck all for years? Bonkers.
Mon Aug 04 12:00:07 PDT 2014 --  So, my excitement for @JonnyBones v @dc_mma just went up a few hundred notches #epic #ufc
Sun Aug 03 11:14:57 PDT 2014 --  " @thesundaypeople: Meanwhile, here's the DARKER side of N-Dubz. http://sundaypeo.pl/1AMhsdA  pic.twitter.com/MmtSW4h3to" @Whiskybob77
Thu Jul 31 13:40:50 PDT 2014 --  " @whufc_official: BREAKING: England full-back Carl Jenkinson has joined #WHUFC on a season-long loan from @Arsenal" <- decent.
Fri Jul 18 15:43:50 PDT 2014 --  " @RottenTomatoes: The first trailer for #Homeland Season 4 is here ---> http://tmto.es/1lde3KB  pic.twitter.com/kZWRedzLuU" @RobDurr77
Sun Jul 13 14:22:20 PDT 2014 --  Mad to think I was there for #Mascherano #WestHam debut. Its criminal that we never used him.
Thu Jul 10 12:38:09 PDT 2014 --  " @SkySportsNews: BREAKING: Alexis Sanchez completes move to Arsenal. #SSN" <- decent
Tue Jul 08 14:49:31 PDT 2014 --  COMPLETION WHISTLE! Brazil take an airplane home, Germany take an airplane to awesomeness. #WorldCup #YouGotYourAssesOwned
Tue Jul 08 14:49:51 PDT 2014 --  I like the way #GER haven't over celebrated. #Credit
Tue Jul 08 14:37:08 PDT 2014 --  Germany to score the 5th: winner. Germany to score the 6th: winner. Germany to score the 7th: winner. #EasyMoney
Tue Jul 08 14:18:24 PDT 2014 --  So apparently, #Neymar hurt his back through that tackle? Surely he did it through carrying these wankers?
Tue Jul 08 14:29:58 PDT 2014 --  What is it about #Luiz that people rate?The way he sings the anthem?Crazy hair?Whatever it is, its sure as shit can't be his defending #pony
Tue Jul 08 14:12:31 PDT 2014 --  Oh, and Manuel Neuer. Too good.
Tue Jul 08 14:12:08 PDT 2014 --  Really don't want #bra to score. TOTAL humiliation, please.
Tue Jul 08 13:55:34 PDT 2014 --  Remember people... £50m for David Luiz. #GoodLuckWithThat
Tue Jul 08 13:27:36 PDT 2014 --  Wow. That is all #GER
Fri Jul 04 14:41:56 PDT 2014 --  Come on #COL !
Fri Jul 04 13:05:22 PDT 2014 --  Come on #COL
Tue Jul 01 15:27:36 PDT 2014 --  That awkward moment when you realise that both #ALG and #USA are a better team than #ENG ... #realitycheck
Tue Jul 01 15:11:42 PDT 2014 --  Come on #USA #penalties
Mon Jun 30 15:30:54 PDT 2014 --  Fair play indeed to #ALG . Its sad to think that #Eng could never (probably) play like this against #GER
Sat Jun 28 14:27:13 PDT 2014 --  Edinson Cavani. Don't believe the hype. #COL #URU
Fri Jun 27 11:42:25 PDT 2014 --  Exhausted after a busy day which finished off with a rough collie!! You think that's bad, tomorrow we have a Newfoundland!!! #illovemyjob
Tue Jun 24 11:40:53 PDT 2014 --  Remember, people, #Suarez doesn't think he gets enough respect.
Fri Jun 13 03:46:07 PDT 2014 --  #DavidBentley . What the hell happened?
Thu Jun 12 12:28:55 PDT 2014 --  Holiday in the morning. The start of the World Cup. CPP claim cheque in the post. #HappyDays
Wed Jun 11 23:21:32 PDT 2014 --  " @HuffingtonPost: Here's the first trailer for "Dumb and Dumber To" http://huff.to/1lmqkj8  pic.twitter.com/b5pBZlCaMp" @Pedders18
Sat Jun 07 15:21:57 PDT 2014 --  Hoddle: "Roy needs to find a way to unlock these defenses." Answer: Ross Barkley.
Sat Jun 07 14:46:14 PDT 2014 --  Adrian Chiles. Seriously.
Sat Jun 07 14:05:58 PDT 2014 --  I could get used to games on this time of night #England
Wed Jun 04 13:36:01 PDT 2014 --  Joke red card.
Wed Jun 04 13:33:56 PDT 2014 --  If Smalling and Jones played for #WestHam they wouldn't be anywhere near this WC squad. #England
Wed Jun 04 13:25:58 PDT 2014 --  Is it me, or is there little logic in playing guys that aren't even traveling to the WC? #England
Wed Jun 04 13:11:31 PDT 2014 --  Jack Wilshere... not really seeing it. #England
Wed Jun 04 13:09:47 PDT 2014 --  What's wrong with England players celebrating a goal properly?
Sat May 31 14:46:01 PDT 2014 --  #decentpick pic.twitter.com/v600Dd9MCL
Fri May 30 13:47:43 PDT 2014 --  Would be nice to keep it at 3-0
Fri May 30 12:43:09 PDT 2014 --  BOOM YOURE FIRED!!! Wins really well at 3/1 last night, SP 9/4 so nice price whenever you backed it :)
Fri May 30 12:44:59 PDT 2014 --  *put football on, spends all the time reading Twitter* #boring
Thu May 29 15:10:13 PDT 2014 --  Oh dear. #JoeyBarton is given a chance, and the first thing he says is a massively sexist comment. #QuestionTime
Wed May 28 13:57:00 PDT 2014 --  " @RememberingMSN: RT if you wish you could go back and read all your old MSN conversations." @RobDurr77
Tue May 27 13:58:52 PDT 2014 --  Decent evening of betting. 4/6 winners. Certainly beats watching #BGT
Sun May 25 06:24:07 PDT 2014 --  Great Minds wins at 5/1 not 4/1, even more profit there, shame we missed the 7/1 it opened at last night. Well done if you were on :)
Sat May 24 13:40:41 PDT 2014 --  "@TippingBible: BOOOOOOOM! Real Madrid score in the last minute. 11/8! IN-Play comes in!" <-on it!Gutted for for AM,but happy for extra time
Sat May 24 13:38:57 PDT 2014 --  Game on #ChampionsLeague
Sat May 24 13:19:44 PDT 2014 --  Is Benzema still playing? #lost
Fri May 23 13:35:08 PDT 2014 --  Just when you thought football couldn't get anymore ridiculous, #DavidLuiz is on the verge of becoming most expensive defender ever #jokes
Fri May 23 13:04:07 PDT 2014 --  " @WinningFurlong: BOOOOOM! Boy in the Bar comes in @ 3/1 on our final tip of the day. Another great day of tips!" <- 2/2 for me tonight!
Thu May 22 08:49:56 PDT 2014 --  Wish I had more knowledge about the #europeanelections . Who to vote for??
Tue May 20 12:42:02 PDT 2014 --  @joescanlan4 @ccohen9 money shouldn't be used as an excuse for grown men 2 behave like spoilt children, his statement & actions are pathetic
Tue May 20 11:33:36 PDT 2014 --  #YayaToure - is this geezer having a laugh, or what?
