Sun Aug 02 16:18:23 PDT 2015 --  Hounds Tiebreakers vs RIC - PIT has won vs NYRBII - NY leads but not won vs HAR - PIT leads but not won vs CHA - CHA leads but not won
Sun Aug 02 16:12:29 PDT 2015 --  Updated East Standing (Place - team - pts - games left) 4. RIC - 32 - 8 5. NYRBII - 31 - 8 6. PIT - 28 - 8 7. HAR - 25 - 10 8. CHA - 23 - 11
Sun Aug 02 14:29:43 PDT 2015 --  If you are looking for something to do, NYRBII and StLFC kicked off a few minutes ago. Somewhat important match for Hounds.
Sat Aug 01 18:56:52 PDT 2015 --  Awesome job by @PghRiverhounds and especially @RV__17 @SteelArmy UNLEASH
Sat Aug 01 18:01:46 PDT 2015 --  Back on track #UNLEASH
Sat Aug 01 17:53:52 PDT 2015 --  HAT TRICK CITY! #UNLEASH
Sat Aug 01 17:48:46 PDT 2015 --  POST! #UNLEASH
Sat Aug 01 17:46:27 PDT 2015 --  Vincent equals @j_angulo18's 15 goal mark from two season's ago. What a season he's having. #USL #Riverhounds
Sat Aug 01 17:45:25 PDT 2015 --  This is the Hounds team we know and love #UNLEASH
Sat Aug 01 17:30:26 PDT 2015 --  This is getting too close for comfort #UNLEASH
Sat Aug 01 17:04:37 PDT 2015 --  We're ecstatic that the Paul Child Stand is a reality. #UNLEASH #LEGEND
Sat Aug 01 16:52:08 PDT 2015 --  @PghRiverhounds & @SteelArmy announce that they've renamed their supporters area "Paul Child Stands" #PittsburghSoccer
Sat Aug 01 16:50:32 PDT 2015 --  The supporters' section at Highmark Stadium is hereby known as the Paul Child Stand. @SteelArmy @SJEarthquakes pic.twitter.com/4T03hcjHap
Sat Aug 01 16:50:32 PDT 2015 --  Time to honor a Pittsburgh soccer legend. Mr. Paul Child. Thank you, sir! #unleash pic.twitter.com/h8EYRVoqg5
Sat Aug 01 16:48:59 PDT 2015 --  The @SteelArmy with a large (homemade!) Paul Child banner raised in their section, which now will be renamed for Child.
Sat Aug 01 16:24:18 PDT 2015 --  Rob Vincent has two more league goals (14) than Wilmington (12) has all season. #USL
Sat Aug 01 16:19:51 PDT 2015 --  @PghRiverhounds @RV__17 @SteelArmy "I just can't seem to get enough ROBBIE VINCENT!!"
Sat Aug 01 16:19:17 PDT 2015 --  Sweet Goal and boom some yellow smoke. Nice work @SteelArmy pic.twitter.com/HHtMOvnyk5
Sat Aug 01 16:17:39 PDT 2015 --  That @KevinKerr89 pass = all day
Sat Aug 01 16:19:53 PDT 2015 --  WE JUST CAN'T GET ENOUGH! #UNLEASH
Sat Aug 01 16:05:13 PDT 2015 --  Kerr! So close! #UNLEASH
Sat Aug 01 15:57:06 PDT 2015 --  Paul Child tribute on the big screen during pregame... #Riverhounds #PittsburghSoccer pic.twitter.com/py1Y8gxOPu
Sat Aug 01 15:43:16 PDT 2015 --  The boys really need three points tonight. COME ON YOU HOUNDS #UNLEASH
Sat Aug 01 15:28:29 PDT 2015 --  On Rivera: 3rd-round pick in this year's MLS Draft. He's an N.J. native who played his college ball at my mom's alma mater, Old Dominion.
Sat Aug 01 15:26:59 PDT 2015 --  The newcomer on the @PghRiverhounds bench is striker Sidney Rivera, who was acquired midweek on loan from @OrlandoCitySC....
Sat Aug 01 15:26:00 PDT 2015 --  GK Ryan Thompson being given the night off to rest up after Copa America and the Gold Cup.. he is nursing a minor knee injury, as well.
Sat Aug 01 15:24:58 PDT 2015 --  Starting lineup for @PghRiverhounds: Brown (G), Flunder, Hunt, Okiomah, Okai, Earls, Vincent, Kerr, Moloto, Green.
Sat Aug 01 15:22:34 PDT 2015 --  Ryan Thompson in dress clothes tonight... Calle Brown getting the start for the #Riverhounds #USL
Sat Aug 01 15:12:52 PDT 2015 --  Tonight's line-ups for the visit of the @WilmHammerheads. #PGHvWIL #unleash pic.twitter.com/XBU4LK4Evc
Sat Aug 01 14:46:40 PDT 2015 --  The Legend! Pittsburgh soccer great Paul Child signing autographs in the sports bar before tonight's #PGHvWIL game. pic.twitter.com/HIiv37mufX
Sat Aug 01 14:43:49 PDT 2015 --  @SteelArmy Got extra 3 tickets for tonight. $10 each
Sat Aug 01 14:24:35 PDT 2015 --  We are LIVE from Highmark Stadium before the #pittsburgh Riverhounds game! Stop by the Tri… http://ift.tt/1Icjrvc  pic.twitter.com/gf6yM5RjTO
Sat Aug 01 13:16:18 PDT 2015 --  A beautiful afternoon for some soccer #UNLEASH
Sat Aug 01 09:05:12 PDT 2015 --  @PghRiverhounds game at 7? Come to the bar in the stadium for @carlsberg prizes and giveaways from the Mirth goddesses! @MirthPromotions
Sat Aug 01 06:57:47 PDT 2015 --  A Soccer Life! Paul Child honored tonight @PghRiverhounds. All starts 5p in pub with 7p KIck Off pic.twitter.com/4nHfzFHQUT
Sat Aug 01 06:49:56 PDT 2015 --  It's Gameday! It's Paul Child Day! It's Hounds-Get-Their-Heads-Out-Of-Their-Ass Day! It's a Gold Out Day! It's a Three Points Day!
Sat Aug 01 05:54:39 PDT 2015 --  Stop by Highmark Stadium tonight for the @PghRiverhounds game and meet Paul Child along with free #goldout shirt pic.twitter.com/50dGm0m2LC
Sat Aug 01 05:18:00 PDT 2015 --  Good morning Pittsburgh @PghRiverhounds #gameday #unleash pic.twitter.com/9KBeHGWTYv
Sat Aug 01 05:25:08 PDT 2015 --  BREAKING DOWN THE HOUNDS - GameDay Preview: It's Hammer Time @pghriverhounds @usl http://pittsburghsoccerreport.com/2015/08/01/breaking-down-the-hounds-its-hammer-time … pic.twitter.com/DYSSlW7ufh
Fri Jul 31 11:46:03 PDT 2015 --  Our section gets named the 'Paul Child Stands' tomorrow. Could be abbreviated to 'the P.C. Stands' which would be ironic, to put it mildly.
Fri Jul 31 11:37:48 PDT 2015 --  Also, you must watch this incredibly 80s video: https://www.youtube.com/watch?v=OC4cDRBh0Ko … https://twitter.com/SteelArmy/status/627186189066502150 …
Fri Jul 31 11:36:54 PDT 2015 --  Paul Child Day is tomorrow at Highmark. Help us celebrate the first name in Pittsburgh soccer while the beloved take 3 points vs Wilmington.
Fri Jul 31 09:46:28 PDT 2015 --  Analyzing recent Riverhounds' defensive failures, plus video interview w/Jamaican hero Thompson, in tomorrow's @DKPghSports matchday post.
Wed Jul 29 18:21:10 PDT 2015 --  ...and the referee on Saturday is Darth. Yes, Darth.
