Mon Aug 24 07:28:47 PDT 2015 --  Kolaborasi thinkin out loud yujin terbaik adalah pas di kompas, sumpah, enak bgt penggabungan suaranya
Mon Aug 24 07:15:20 PDT 2015 --  Terimakasi ya wat amu amu yg uda cape2 ngetes kesetiaan kitorang(?) Iluvuu penzzz
Mon Aug 24 06:29:53 PDT 2015 --  kenapa komunitas ini ga pernah sepi? tanyakan saja pada rumput yg bergoyang atau burung2 yg sedang bernyanyi~
Mon Aug 24 06:25:43 PDT 2015 --  @riostevadit BAPAAAK, COGAAAN, KESAYANGAAN, KITA PADAMU NO MATTER WHAT HAPPEN, OKE FIX!!
Mon Aug 24 06:48:53 PDT 2015 --  Yaitu tadi, buat saat terakhirnya RT @Fitratun281: @stywdya09 gue ngakak hahah. Tiba2 dia cengo lagi saat terakhir buat apa? Hahah
Mon Aug 24 06:47:56 PDT 2015 --  Aseq kamaes ngerti RT @maestrorahman: Nek ora dicemplungke wae ning selat maduro. https://twitter.com/stywdya09/status/635803614749966336 …
Mon Aug 24 06:46:26 PDT 2015 --  Sekarang dp dia diganti dp alvin masa
Mon Aug 24 06:45:22 PDT 2015 --  Tadi pasang dp Alvin, temen kampus lain bbm "ini alvin ic? Ah makin ganteng, dulu kan aku alvinoszta" ahgila dunia begitu sempit
Mon Aug 24 06:44:17 PDT 2015 --  Kemaren pasang dp rio, temen kampus bbm "adikkuuuu*,*" Ternyata dulu dia rise, dan pernah ketemu rio di TP jaman2 dulu(?)
Mon Aug 24 06:22:43 PDT 2015 --  Saat terakhir aje udah RT @Fitratun281: Coba deh yg dekat sama rumah dia atau apa gitu sodorin lagu nya ST12 - Dunia Pasti Berputar. Biar di
Mon Aug 24 06:13:57 PDT 2015 --  Wihh hebat ya kakrio, BARU masuk kompas aja udah ada haterss
