Thu Aug 20 17:36:13 PDT 2015 --  Peep the duck, that's how you know it's gon be Mr_hotspot #smackables #good (Vine by @___RoBBiE__) https://vine.co/v/ewhzAiBLYMr 
Thu Aug 20 17:36:00 PDT 2015 --  #smackables This Chip Was Good Asf Mr_hotspot haha (Vine by SrNalo) https://vine.co/v/ewbEngP39Ua 
Thu Aug 20 17:35:31 PDT 2015 --  Ugly (Vine by Mr_hotspot) https://vine.co/v/epAWw0pVHue 
Thu Aug 20 17:35:18 PDT 2015 --  (Vine by Mr_hotspot) https://vine.co/v/epAAmQpnOPl 
Thu Aug 20 17:35:06 PDT 2015 --  When I shake I Dribble (Vine by Mr_hotspot) https://vine.co/v/ep1iZ52Yu51 
Thu Aug 20 17:34:51 PDT 2015 --  While waiting on the pizza to come! @therealyvngquan #thaKREW (Vine by Mr_hotspot) https://vine.co/v/epn1m9F0IJp 
Thu Aug 20 17:34:29 PDT 2015 --  . @mr_hotspot #SlideLikeThis (Vine by @YBG_Neek) https://vine.co/v/eweDUxZZAu0 
Thu Aug 20 17:34:17 PDT 2015 --  Mr_hotspot . G.O.A.T #slidelikethis (Vine by Gerry Guerra) https://vine.co/v/eXDAPEUbAdD 
Thu Aug 20 17:34:05 PDT 2015 --  (Vine by danielbakzonn) https://vine.co/v/eXAYJieBm6a 
Thu Aug 20 17:33:45 PDT 2015 --  #HotspotTaughtMe (Vine by Mr_hotspot) https://vine.co/v/epnrWi6aHlJ 
Thu Aug 20 17:33:30 PDT 2015 --  The base thou!!! Song: Taught Me - Mr_hotspot (Vine by Mr_hotspot) https://vine.co/v/epn6bix3uDw 
Thu Aug 20 17:33:19 PDT 2015 --  Candy🏽 Snapchat: @mr_hotspot tag friends that you know don't follow🏽 (Vine by Mr_hotspot) https://vine.co/v/epngrJ0AHdg 
Thu Aug 20 17:33:00 PDT 2015 --  Wet! (Vine by Mr_hotspot) https://vine.co/v/epnXQJwEE26 
Thu Aug 20 17:32:46 PDT 2015 --  Them hits @therealyvngquan (Vine by Mr_hotspot) https://vine.co/v/epvA5IuQ9A0 
Thu Aug 20 17:32:30 PDT 2015 --  #KrewSlide going crazy!! #ThaKrew @therealyvngquan, @AutryMyles, Mr_hotspot (Vine by SheLovesMeechie) https://vine.co/v/OhwVHrZ7lu1 
Thu Aug 20 17:32:18 PDT 2015 --  Watch me! @therealyvngquan, Mr_hotspot, @AutryMyles #thakrew (Vine by SheLovesMeechie) https://vine.co/v/eej2ldeKbMI 
Thu Aug 20 17:31:53 PDT 2015 --  #Thakrew x SheLovesMeechie ! Our New Dance called Tha #Krewslide IG: @Yvngquan_ (Vine by @therealyvngquan) https://vine.co/v/ObvM3AKgmpE 
Thu Aug 20 17:31:39 PDT 2015 --  #ThaKrew x #WeAreToonz had to turn up one time! #NaeNae @KoolAsLevi, Mr_hotspot,... (Vine by @therealyvngquan) https://vine.co/v/OZmeiOLEFKW 
Thu Aug 20 17:31:26 PDT 2015 --  #Thakrew hitting the KrewSlide !!! IG: Thakrewofficial #mannyroberts (Vine by @emanuelroberts) https://vine.co/v/ObgrXamOVEJ 
Thu Aug 20 17:31:10 PDT 2015 --  . @AutryMyles #ThaKrew #KrewSlide (Vine by SheLovesMeechie) https://vine.co/v/OhWOvilP5JQ 
Thu Aug 20 17:30:52 PDT 2015 --  #KrewSlide S/o to #ThaKrew (Vine by @1Ballout_) https://vine.co/v/OMn01WvVip1 
Thu Aug 20 17:30:39 PDT 2015 --  Noah B. Turnt!!!! #thakrew IG: @noahb_26 @kingcinco @mr_hotspot @yvngquan_ (Vine by ThaKrew) https://vine.co/v/MHl62HET3FW 
Thu Aug 20 17:30:23 PDT 2015 --  I see ya'll SheLovesMeechie Mr_hotspot @therealyvngquan @AutryMyles #thaKREW #hitdemfol... (Vine by Philiboy1) https://vine.co/v/e60bIQ1K0MO 
Thu Aug 20 17:30:09 PDT 2015 --  #dance #Comedy #lipsync (made by DamnThatsAkil with @musicallyapp) #musicallyapp #ThaKrew (Vine by Sheyla) https://vine.co/v/e65XiOV7iIu 
Thu Aug 20 17:29:56 PDT 2015 --  All they had to do was touch him once #thatboigood #bruh #bruhmovement #YAHtoany... (Vine by bgi3) https://vine.co/v/MtQqXUJ6Dwu 
Thu Aug 20 17:29:24 PDT 2015 --  #YahToAnything (Vine by @AsideEnt) https://vine.co/v/OYlvtgPwiQe 
Thu Aug 20 17:29:01 PDT 2015 --  #Yahtoanything (Vine by @CaptinnCrunch) https://vine.co/v/MTF9QV5xIpM 
Thu Aug 20 17:28:38 PDT 2015 --  #YAHtoanything (Vine by @mgiovannigreco) https://vine.co/v/MFuQeJgOJ2Q 
Thu Aug 20 17:28:29 PDT 2015 --  #YahToAnything gotta give you some cred, and @AsideEnt cuz im a real NINJA! YAA... (Vine by @SubliminalKing_) https://vine.co/v/MT5O55lb1en 
Thu Aug 20 17:28:16 PDT 2015 --  #Yahtoanything (Vine by @CaptinnCrunch) https://vine.co/v/MTmHQzpAxgU 
Thu Aug 20 17:28:04 PDT 2015 --  #yahtoanything @AsideEnt @NikeBoiSwoosh (Vine by @LivinNicee) https://vine.co/v/MT5j1Vbzij6 
Thu Aug 20 17:27:47 PDT 2015 --  #yahtoanything lol (Vine by @LizGotDhaJuice) https://vine.co/v/MTZHgLYP1qV 
Thu Aug 20 17:27:33 PDT 2015 --  #yahtoanything @mr_hotspot #Throwback (Vine by @bo_phresh93) https://vine.co/v/eJFAbMgLXH5 
Thu Aug 20 17:27:19 PDT 2015 --  . @DJ_JohnnyZ #yahtoanything @mr_hotspot #whatarethose (Vine by @bo_phresh93) https://vine.co/v/eJph2Xv9FWO 
Thu Aug 20 17:27:04 PDT 2015 --  I can draw! (Vine by Mr_hotspot) https://vine.co/v/epvJlihQD1X 
Thu Aug 20 17:26:50 PDT 2015 --  He was gone! (Vine by Mr_hotspot) https://vine.co/v/epv1xvIQhA7 
Thu Aug 20 17:26:38 PDT 2015 --  Yep That's Him! (Vine by Mr_hotspot) https://vine.co/v/ep3LED2AteM 
