Thu Jun 04 17:36:59 PDT 2015 --  Coaching with sarcasm ain't gonna get you anywhere with your players. I'm just sayin'.
Wed Jun 03 18:53:37 PDT 2015 --  Here's thing about the Bruce/Caitlyn Jenner situation - as it turns out, you're not entitled to an opinion. It has nothing to do with you.
Tue Jun 02 14:27:40 PDT 2015 --  I JUST MET KIM KARDASHIAN pic.twitter.com/Gk6FM6wU5L
Tue Jun 02 16:33:49 PDT 2015 --  Stories for days off of this event today... pic.twitter.com/CdqmHGzvk8
Sat May 30 20:09:15 PDT 2015 --  Joe Biden buried his wife and his daughter, now his son. Politics be damned, save some prayers and thoughts for the Vice President tonight.
Sat May 30 19:50:45 PDT 2015 --  I don't care how many degrees you might have. You can't gain common sense from a book.
Sat May 30 19:49:37 PDT 2015 --  I swear to God. Some people don't have a bit of common sense.
Sat May 30 19:29:27 PDT 2015 --  Our thoughts and prayers are with @VP Biden and his family after the passing of his beloved son, Beau Biden. https://youtu.be/CEtbBSwR7SE 
Sat May 30 17:40:20 PDT 2015 --  Finally watching the last episode of #GreysAnatomy and I hate you ABC!!! Heartbreaking!
Fri May 29 20:59:06 PDT 2015 --  U2 doing a gig down in the subway station. How COOL is that! Think they got any tips? #FallonTonight
Wed May 27 12:40:20 PDT 2015 --  Thank goodness for @Kreager ...otherwise we wouldn't know what's going on.
Tue May 26 17:04:18 PDT 2015 --  Stewarts Creek hires state championship girls hoops coach http://on.dnj.com/1Hv6J7O  via @dnj_com
Wed May 27 12:06:12 PDT 2015 --  Not happy!!! We will miss you, @KTDyson87 https://twitter.com/kreager/status/603615175267213312 …
Sun May 24 17:32:27 PDT 2015 --  I never miss the Nat'l Memorial Day Concert. Thank you, @GarySinise @JoeMantegna @npt8 #MemDayPBS #MemorialDayPBS
Sun May 24 11:20:29 PDT 2015 --  Then the kangaroo said, "Don't leave me out, I wanna selfie, too!" https://instagram.com/p/3ExMEWuyUv/ 
Sun May 24 11:15:41 PDT 2015 --  Amanda and her new #emu friend taking a selfie. https://instagram.com/p/3Ewo8VuyTf/ 
Sat May 23 10:05:37 PDT 2015 --  Honest, lovely folks...if you ever need your vacuum cleaner or old-model sewing machine repaired, this is the place. https://www.swarmapp.com/c/gmsRfb6Y4mZ 
Wed May 20 21:58:24 PDT 2015 --  Yes, this. #ThanksDave @Letterman https://twitter.com/SeanMorrison/status/601250193120464897 …
Wed May 20 21:53:25 PDT 2015 --  #ThanksDave https://twitter.com/Letterman/status/601249258562551808 …
Wed May 20 21:52:34 PDT 2015 --  If everything could feel this real forever.....
Wed May 20 21:47:42 PDT 2015 --  aw, the Foo dressed in their Sunday best for the honored occasion. @foofighters @Letterman #ThanksDave
Wed May 20 21:43:47 PDT 2015 --  Harry is a spitten image of Dave! #ThanksDave @Letterman
Wed May 20 21:32:00 PDT 2015 --  "You know what I'm going to do with the rest of my life... social media." #ThanksDave pic.twitter.com/rUPSnFOIG4
Wed May 20 11:51:26 PDT 2015 --  Final time on this stage... #ThanksDave @Letterman pic.twitter.com/p3B30iTFW8
Wed May 20 10:54:10 PDT 2015 --  A look back at some of the best segments on @Letterman: http://cbsn.ws/1K1IW27  - @CBSShowbiz pic.twitter.com/aKkOVTKMVi
Tue May 19 21:38:39 PDT 2015 --  Ok, they just slid in an "In Memoriam" before the "Worldwide Pants" end. That got to me. #ThanksDave @Letterman
Tue May 19 21:36:26 PDT 2015 --  Two things to remember. Always be nice to other people, and the greatest song writer of modern times is Bob Dylan. #ThanksDave @Letterman
Tue May 19 21:34:21 PDT 2015 --  I love the lighting effect on @bobdylan #ThanksDave @Letterman
Tue May 19 21:29:18 PDT 2015 --  The world loves Bill Murray. Thanks for the sweet memories 1982-2015 @Letterman #LateShow #ThanksDave pic.twitter.com/O0LovxnMpe
Tue May 19 21:24:04 PDT 2015 --  The great Bill Murray. #classic #ThanksDave @Letterman
Tue May 19 21:06:07 PDT 2015 --  Bill Murray jumping out of a cake!!! What more could we ask for? #classic #ThanksDave @Letterman
Tue May 19 20:54:05 PDT 2015 --  Rupert! #ThanksDave
Tue May 19 20:44:32 PDT 2015 --  REGIS! #ThanksDave
Tue May 19 20:00:51 PDT 2015 --  Not to worry @meghanlinsey...your future is SET! #VoiceFinale
Tue May 19 19:58:28 PDT 2015 --  Gettin' that teen demo. Congrats @SawyerFrdrx #VoiceFinale
Tue May 19 19:52:34 PDT 2015 --  Dear lord, that was yummy. #ThrillisGone #RipBBKing #VoiceFinale
Tue May 19 11:40:04 PDT 2015 --  I’ll never harden my heart, but I’ve toughened the muscles around it. #Dollyism pic.twitter.com/LvW81fTqN3
Tue May 19 19:08:59 PDT 2015 --  "I don't even have my drivers license yet." -- @SawyerFrdrx LOL Too Cute. #TheVoiceFinale
Mon May 18 18:46:27 PDT 2015 --  I have new respect for @KrisJenner. It takes a very compassionate person to wish the man who has broken her heart to be happy. #BruceJenner
Mon May 18 17:32:18 PDT 2015 --  Hmmm. Weak. Not the best song choice or key. Makes me sad because I love Sawyer & Pharrell. #TheVoice
