Sun May 24 03:51:19 PDT 2015 --  Yeah Really! - pic.twitter.com/7Y67W5fsV5
Sun May 24 03:41:17 PDT 2015 --  Monaco Grand prix! Finally have the time to watch a full @F1 . #Keenbean
Wed May 20 13:35:16 PDT 2015 --  3 - Arsenal have failed to score in three successive home league games for the first time since February 2009. Drought.
Wed May 20 13:35:52 PDT 2015 --  There is going to be a HUGE booo from the @Arsenal fans
Wed May 20 12:17:46 PDT 2015 --  #coyg wow this full strength midfield is sublime. We really need finishers though @Arsenal
Sun May 17 13:07:44 PDT 2015 --  Hey @EntleD did you see that takealot have been knocking down your door?
Wed May 13 13:40:18 PDT 2015 --  Dzyaaaaaaaam @juventusfcen job well done. :( @realmadriden
Mon May 11 14:06:23 PDT 2015 --  what u get when u trust people pic.twitter.com/AebSoPAYW8
Mon May 11 14:06:17 PDT 2015 --  0 - Arsenal have failed to score in two successive PL home games for the first time since April 2011. Dour.
Mon May 11 14:01:32 PDT 2015 --  Could we all @Arsenal just stop to remember and marvel at the fact that it's still @Alexis_Sanchez first season! #Foundation #Solid
Sat Dec 06 07:41:07 PST 2014 --  When I die I gotta wear my Arsenal shirt to prove to God that I've been through hell already.
Mon May 11 13:43:57 PDT 2015 --  Goal line technology :( #Dafurrrrq #COYG
Mon May 11 13:37:13 PDT 2015 --  But how... Fabianski? From padawan to master of the force!
Fri May 08 16:32:00 PDT 2015 --  Seems legit. pic.twitter.com/AbGMY0HdmV
Mon May 11 13:24:38 PDT 2015 --  Loving the volune from the fans tonight @Arsenal! Tons of passion and pride for the Gunners #COYG
Fri May 08 06:56:56 PDT 2015 --  Loadshedding is going to be the death of me!
Thu May 07 00:33:13 PDT 2015 --  A new album soon from one of my favourites @HiatusKaiyote. Thank you so much guys! #DayMade pic.twitter.com/nhakeiqneO
Tue May 05 11:18:21 PDT 2015 --  Craaaaaaaap man! When Endomondo gps doesn't pick up and screws up your stats! #getfit… https://instagram.com/p/2T1wk5rX9-/ 
Sun Apr 26 04:20:26 PDT 2015 --  The awesomeness of the Dark Side. A Star Wars Darth Vader Toaster from Import It All - http://buff.ly/1ORqgmX  pic.twitter.com/b5YIn3U9eV
Thu Apr 23 13:08:55 PDT 2015 --  South Africa we miss u...
Sat Apr 18 11:32:06 PDT 2015 --  Fan Expo 2015... The march of the stormtroopers! - pic.twitter.com/7Q3DbrQjM4
Sat Apr 18 09:07:13 PDT 2015 --  Looking at the head to head stats @Arsenal vs Reading, this match looks in the bag! #FaCupFinal #WembleyHereWeCome
Tue Apr 14 11:47:17 PDT 2015 --  pic.twitter.com/y7HMZbDCc8
Mon Apr 13 22:30:17 PDT 2015 --  SA power crisis has ‘severe’ GDP effects, World Bank says. Power rationing will restrict GDP growth to 2% this year. http://bit.ly/1aXVlJ6 
Mon Mar 23 23:18:19 PDT 2015 --  Ok, can live with 298... we have alot of work to do... :( why do I have to work! #ProteaFire @OfficialCSA #LetsGoBois
Sun Mar 22 22:46:40 PDT 2015 --  Cecil John Rhodes=White Dictator http://fb.me/4gJtGN996 
Sat Mar 21 12:08:58 PDT 2015 --  Yho that was close! What a game @TheSharksZA! #SSRugby @SuperRugby
Sat Mar 21 11:51:44 PDT 2015 --  Gone are the days when a whole rugby team wore the same boots. #Flashy #RuggaShoeGame #SSRugby @TheSharksZA @SuperRugby
Sat Mar 21 11:37:56 PDT 2015 --  My pancaking skills have increased to a higher level... Pancakes with honey, Coffee grain pancake and… https://instagram.com/p/0gATuxrX1q/ 
Sat Mar 21 11:24:37 PDT 2015 --  Watch the Gameplay Trailer for ‘EVE: Valkyrie’ here: http://hsnob.co/2ec9j  pic.twitter.com/hQC8pcgxlA
Sat Mar 21 10:26:13 PDT 2015 --  This commercial is https://amp.twimg.com/v/ed4eaff3-bf7d-4e96-a333-50314c14fee0 …
Sat Mar 21 11:20:31 PDT 2015 --  Pic of the storm at stadium @ZaneD @ecr9495 @ECRBreakfast @RoryPetzer @SkyTshabalala @djdeong @darrenmaule please rt pic.twitter.com/qSkEWHG5Hb
Sat Mar 21 11:23:27 PDT 2015 --  Wait what??? Rory Kockott is French? #SSRugby #SuperRugby pic.twitter.com/mT0ETvaADL
Sat Mar 21 11:05:38 PDT 2015 --  "Best friend I ever had" - pic.twitter.com/hX3hHlLY4k
Sat Mar 21 10:55:49 PDT 2015 --  3 red cards... WOASHHHH! #GameOver? #SharkTank
Sat Mar 21 10:49:04 PDT 2015 --  There is absolutely no fluidity to this match. I feel like I'm watching American football @TheSharksZA @SuperRugby #SSRugby #SharkTank
Sat Mar 21 10:37:25 PDT 2015 --  That looks like another red to me. But why Bizmark? @TheSharksZA
Sat Mar 21 10:32:22 PDT 2015 --  Straight red... thixo! Go @TheSharksZA
Sat Mar 21 10:05:43 PDT 2015 --  LETS GOOOOOooooooooOOOOOOOOOOO @TheSharksZA... Wan't to sleep with a fat grin on my face!
Sat Mar 21 10:04:12 PDT 2015 --  RETWEET if Francis Coquelin was your #NUFCvAFC man of the match pic.twitter.com/oc9Itx9MN3
Sat Mar 21 09:52:18 PDT 2015 --  NIIIIIIIIIICE NICE baby! @Arsenal #COYG
Sat Mar 21 09:47:50 PDT 2015 --  Four of the longest minutes EVER! YHOOOOO #COYG
Sat Mar 21 09:44:59 PDT 2015 --  Coquelin is a beast though! Another man of the match performance for me! @Arsenal #COYG
Sat Mar 21 09:43:11 PDT 2015 --  MOREAL that's twice now.... AAAAAARRRRGGGGHHHH!!!! this guy!
Sat Mar 21 09:42:15 PDT 2015 --  This match is making me nervous! #NEWvARS #COYG almost there! @Arsenal
Sat Mar 21 09:27:40 PDT 2015 --  What is going on with this match #NEWvARS? Get some composure @Arsenal! Huge difference between a draw and a win! Bring on the PACEMEN!
Sat Mar 21 09:06:38 PDT 2015 --  Dagger #COYG
Sat Mar 21 08:27:04 PDT 2015 --  18 - Arsenal have more scored more set piece goals than any other Premier League side this season. Bizarre.
Sat Mar 21 08:28:28 PDT 2015 --  And its theeeeeerrreeeeeee @_OlivierGiroud_ another header. What a surprise! #LovingIt
Sat Mar 21 08:26:46 PDT 2015 --  Na na naa naaaaaa @_OlivierGiroud_ #GreatStart
Thu Mar 19 14:13:36 PDT 2015 --  First assignment submitted :) NEEEEEEEEEXT!
Thu Mar 19 05:43:12 PDT 2015 --  Humble beginnings. #TBT #ThrowbackThursday pic.twitter.com/2WyxVjZjJV
Wed Mar 18 13:01:10 PDT 2015 --  This #HDStreet 750 was named "Jeans-Bobber". Check back for more #HDCustomKings. http://bit.ly/1Bz1mkk  #RollYourOwn pic.twitter.com/Sp8Rfl2Wp1
Wed Mar 18 13:04:33 PDT 2015 --  Please could someone @MultiChoice or @DStv answer my query! Why is @SuperSportTV on-line only available for PVR subscribers?
Wed Mar 18 02:00:05 PDT 2015 --  The Captain promised they won't choke and the team delivered. In A.B we trust !!
Wed Mar 18 01:58:17 PDT 2015 --  South Africa will play either New Zealand or West Indies in the #cwc15 semi-finals next week Tuesday in Auckland. #SSCricket
Wed Mar 18 01:56:39 PDT 2015 --  WHAT A EMPHATIC victory. We were so strong that match almost looked boring! Great match Boys #ProteaFire.
Tue Mar 17 22:22:37 PDT 2015 --  Proteas fans processing cricket stats on the telly like pic.twitter.com/zSosVzWale
Tue Mar 17 23:17:31 PDT 2015 --  Someone @De_Buks must be soooo pleased with how the Proteas are doing! Demolishing the Sri Lankans
Tue Mar 17 15:23:30 PDT 2015 --  Why wait to before being ill before having this healing elixir.... #HealingJuice #TeaTime… https://instagram.com/p/0WG8iXLX6T/ 
Tue Mar 17 14:47:29 PDT 2015 --  I realized I don't really have any problems. Just temporary issues that will get solved. pic.twitter.com/dOXB2l1bDF
Tue Mar 17 14:44:50 PDT 2015 --  FT #ASM 0-2 #AFC Cazorla and Ozil both attempted more than 100 passes and completed 6 take-ons. Watch their displays pic.twitter.com/mXQvqRSov3
Thu Mar 12 15:15:21 PDT 2015 --  Here's How Entrepreneurs REALLY Think: pic.twitter.com/HcKLm8tRCn
Thu Mar 12 08:25:54 PDT 2015 --  RIP Terry Pratchett pic.twitter.com/LHtQeWeqBu
Thu Mar 12 10:24:39 PDT 2015 --  Damn but I OCD so hard! :(
