Sun Nov 23 07:02:27 PST 2014 --  Go sexy, go sexy, go sexy sexy love! Hahaha! #study #dawabnu #pacute @ Pet Par's Bldg. http://instagram.com/p/vvx2WPmuZY/ 
Sun Nov 23 06:32:36 PST 2014 --  Jogging with my high school friends! #InstaSize #friends @ Quirino Avenue, Davao City http://instagram.com/p/vvubtfmuQK/ 
Sun Nov 23 06:32:29 PST 2014 --  #InstaSize http://instagram.com/p/vvua7CmuQC/ 
Fri Nov 21 06:35:28 PST 2014 --  Good night! @ Pet Par's Bldg. http://instagram.com/p/vqlK8SmuTk/ 
Wed Nov 19 05:11:59 PST 2014 --  Hahahahhh
Wed Nov 19 05:11:46 PST 2014 --  Kilig much!!
Wed Nov 19 05:11:26 PST 2014 --  Take it easy.
Wed Nov 19 05:10:58 PST 2014 --  Stay positive! :) think positive. Live.love.laugh
Wed Nov 19 02:57:58 PST 2014 --  LaMia ani oyy. Thank you @teiji_styles. Hahahah! Sa uulitin. http://instagram.com/p/vlCsPlGueY/ 
Sun Nov 16 16:01:52 PST 2014 --  " @ericjohnsalut: For tonight's Bagito pilot episode, our HT is #Bagito1stCrush Pls RT"
Sun Nov 16 08:11:10 PST 2014 --  Nextime mas malaki na yung room namin. Haha! #InstaSize #instacollage #dormmates #friends… http://instagram.com/p/vd4JdkGuS3/ 
Thu Nov 13 06:14:24 PST 2014 --  #onebite #heartshape #cute #babe#instacollage #InstaSize #instaupdate @ Pet Par's Bldg. http://instagram.com/p/vV8ZreGuez/ 
Mon Nov 10 08:04:54 PST 2014 --  Hi babe! #InstaSize #boy #friend @ Pet Par's Bldg. http://instagram.com/p/vOaqXGmuau/ 
Sat Nov 08 00:03:59 PST 2014 --  Just posted a photo http://instagram.com/p/vIaCSGmuSO/ 
Fri Nov 07 10:22:21 PST 2014 --  #InstaSize #friends #TGIF #groufie #Love @ McDonalds, Matina Town Square, Davao City http://instagram.com/p/vG8AelGuaG/ 
Fri Nov 07 10:14:31 PST 2014 --  #InstaSize #DinnerDate @ Hollywood Burgers Matina Time Square - MTS http://instagram.com/p/vG7HD5muUF/ 
Thu Nov 06 05:17:02 PST 2014 --  All I can do is accept it with all my heart.
Thu Nov 06 05:16:26 PST 2014 --  I'll be happy for you.
Thu Nov 06 05:16:13 PST 2014 --  Kadaming assign !!!!
Thu Nov 06 03:26:19 PST 2014 --  Happy Birthday ate! I wish you all the best in life. Sorry hindi ako makauwi may klase kasi ako.… http://instagram.com/p/vDnmcNGuQl/ 
Tue Nov 04 05:55:44 PST 2014 --  Earlier. @teiji_styles @beyaah17 #InstaSize #InstaCollage #dormmates @ Mcdo, Abreeza Mall Davao http://instagram.com/p/u-vHFDmuX0/ 
Tue Nov 04 05:47:57 PST 2014 --  This reminds me of him. Chos. http://instagram.com/p/u-uOGrmuWw/ 
Sun Nov 02 05:14:23 PST 2014 --  #InstaSize #allsoul'sday #earlier #@KidapawanCity #venturado #vallete #Prudenciado http://instagram.com/p/u5gygKmuXd/ 
Sat Nov 01 17:41:36 PDT 2014 --  All I think about is you......
Sat Nov 01 17:39:13 PDT 2014 --  “ @JColeDC: Don't believe everything you hear, because anyone can tell a lie.”
Sat Nov 01 02:05:27 PDT 2014 --  #barkada #InstaSize #yesterday bebejonel meeeowcath @ Carmen Municipal, Carmen Cotabato http://instagram.com/p/u2fgaEGuWC/ 
Fri Oct 31 18:22:14 PDT 2014 --  Click on View Summary to see my results of How Much Sexy Are You? App at http://theliveapps.pw/sexy/result.php?id=100003788567925 …
Thu Oct 30 18:42:32 PDT 2014 --  Morning selfie. Hahahah http://instagram.com/p/uzIBbmmufe/ 
Thu Oct 30 18:39:21 PDT 2014 --  Morning selfie. http://instagram.com/p/uzHqMVGue9/ 
Thu Oct 30 05:02:30 PDT 2014 --  Selpi pic.twitter.com/q0TLt8hnCb
Thu Oct 30 04:21:39 PDT 2014 --  #InstaSize #selfie http://instagram.com/p/uxlgObGueN/ 
Thu Oct 30 04:19:12 PDT 2014 --  Selfieeee. pic.twitter.com/7N9hXkVrKf
Thu Oct 30 04:13:05 PDT 2014 --  pic.twitter.com/VPMF3mMTcc
Thu Oct 30 04:07:56 PDT 2014 --  Fhsfh,djjo pic.twitter.com/UcjGIxurfQ
Tue Oct 28 19:53:36 PDT 2014 --  Enrolled. weeew. Looking forward for another productive semester. @ Pet Par's Bldg. http://instagram.com/p/uuGkP7Guev/ 
Tue Oct 28 18:29:45 PDT 2014 --  Us, huwaittinggg!!! @krzrnhrmstph kingfahad #InstaMag-MobileApp @fotorusofficial @ University of the… http://instagram.com/p/ut8-BzGuQ0/ 
Tue Oct 28 05:50:26 PDT 2014 --  Black and white para ibigin. Hahaha atik lang. #InstaMag-MobileApp @fotorusofficial @ Pet Par's Bldg. http://instagram.com/p/usmEqRGudD/ 
