Thu Mar 26 17:59:44 PDT 2015 --  اكثروا_من_الصلاة_على_الرسول_ﷺ اللهم صل على محمدﷺ اللهم صل على محمدﷺ اللهم صل على محمدﷺ #اللهم #ﷺ #اللهم_صل_على_محمد #RT”
Tue Mar 24 13:09:52 PDT 2015 --  الوليد بن طلال يكمل طقطقة ناصر الشمراني وين السومه ثلاثه اقوال https://vine.co/v/OYYPHZTKZd2 ”
Mon Mar 23 19:41:38 PDT 2015 --  انما المؤمنون الذين إذا ذكر الله وجلت قلوبهم وإذا تليت عليهم آياته زادتهم إيمانا وعلى ربهم يتوكلون”
Sun Mar 22 17:09:48 PDT 2015 --  بووووووووووووووم لاحول ولا قوه الا بالله #النصر_الاهلي pic.twitter.com/ea2Kwqc1cD”
Sun Mar 22 16:58:48 PDT 2015 --  هههههههههههههههه كل 4 وانت ساكت ي فقراوي #النصر_الاهلي #متمصخر_لاتكلمني pic.twitter.com/mstumgFTlQ””
Fri Mar 20 15:18:35 PDT 2015 --  لاعب الانصار شبيه جداً باللاعب ياسر القحطاني ! لو كنت رئس الهلال تعاقدت معه يكفي شبه ياسر عليه ليرعب المدافعين https://vine.co/v/OVF7rUQW1zn ”
Tue Mar 17 17:34:51 PDT 2015 --  الْاشْيَاء الْمُنْكَسِرة لَيْس لَهَا قِيَمَه ، و لكَن مَا أثمنُ القَلب المُنْكَسِر أمَام الله pic.twitter.com/u5WH7M7Erf”
Sun Mar 08 18:02:22 PDT 2015 --  #شي_يقربك_لله افتح جهازك ؛ واحذف كل مايغضب الله وانظر للسماء وقل : ربي اني تركتها لاجلك ولاتنسى من ترك شي لله عوضه خيرا منه”
Sat Mar 07 12:14:47 PST 2015 --  جمهور النصر"حلمه"ينتقم من خماسية الهلال حتى لو بـ التزوير"لتخفيف اللألم في نفوسهم مايهذري المهذري إلا من حر السخونة" pic.twitter.com/N71L6t9lFs
Sat Mar 07 09:18:28 PST 2015 --  الهلال خلاهم مبسوطين طول المباراه وتفل بوجيههم باخر دقيقه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
Fri Mar 06 05:00:00 PST 2015 --  #اسم_رجل_خلده_التاريخ الشيخ فيصل بن سلطان الدويش ( الهارف) pic.twitter.com/xknpeZZtMI”
Thu Mar 05 15:32:19 PST 2015 --  جميع اهداف محمد صلاح مع فيورنتينا 2015 • تعليق عربي http://youtu.be/6K_UtV8L0C8 ”
Fri Feb 27 17:03:54 PST 2015 --  عجبت لمن جمع المال والموت طالبهه...
Fri Feb 20 03:56:39 PST 2015 --  هُنا القُدس .. pic.twitter.com/nhhX9QbINs”
Mon Jan 26 14:50:36 PST 2015 --  قصيدة الامير خالد الفيصل في رثاء الملك عبدالله "رحمه الله" { http://youtu.be/VfQH-FtUXIM  #مشعل_بن_سلطان_احلى_سعودي”
Mon Jan 26 10:48:12 PST 2015 --  امي #كن_جريء_واكتب_اسم_من_تحب
Sat Jan 24 11:26:59 PST 2015 --  ترقية العقيد#عبدالعزيز_الفغم الى رتبة عميد وتعينه مرافق لـ #خادم_الحرمين_الشريفين الملك سلمان اعتبار من 5/1 القادم . pic.twitter.com/ROS6xEN956”
Thu Jan 22 15:31:59 PST 2015 --  اللهم ارحم عبدك عبدالله بن عبدالعزيز واغفر له واسكنه فسيح جناتك #إنا_لله_وإنا_إليه_راجعون #وفاة_الملك_عبدالله pic.twitter.com/ujbHdj8TCz”
