Tue Jul 07 13:51:37 PDT 2015 --  'I need taming'... So.. You cheat. I'd be saying off you fuck! #LoveIsland #BadBoysArentAllThat
Tue Jul 07 00:51:26 PDT 2015 --  Pretty emotional to watch even for me! BBC News - 7/7 bombings: Survivor meets police officer who saved her http://bbc.in/1S39cf5 
Mon Jul 06 03:13:57 PDT 2015 --  Hahaha madness runs in the #Family gotta love Hetty the hover pic.twitter.com/B1d6It18mU
Sun Jul 05 13:56:03 PDT 2015 --  After a busy time finally sat down watching #LoveIsland and eating #Dominos with my man hunk #GuiltyPleasure #CheatNight
Sat Jul 04 15:31:11 PDT 2015 --  Another cause I love it so much pic.twitter.com/sL7uXnpknb
Sat Jul 04 12:11:57 PDT 2015 --  When the tattoo artist says you're one of the best he's done and sat like a champ oh yeah!! #FeelingProud
Sat Jul 04 12:09:53 PDT 2015 --  New tats 5.5hours I handle pain/tattoos well but that last hour was a killer! #HamsaHand #HorseShoe #Ink #Ribs #Ankle pic.twitter.com/CsIXX4up4U
Thu Jul 02 07:43:40 PDT 2015 --  2 more days till my 5 hour tattoo session #SoExcited! Huuurry up #Tattoo #Girl
Tue Jun 30 05:26:19 PDT 2015 --  EDC ticker purchased!!! #ElectricDaisyCarnival #Rave
Tue Jun 30 00:45:14 PDT 2015 --  Amazing birthday present from my boyfriend #Flying #Spoilt pic.twitter.com/0jBG7D0a6v
Mon Jun 29 07:39:18 PDT 2015 --  Take a weight loss detox tea, loose weight the cheat way then carry on with the life style that got you fat in the first place #GreatLogic
Mon Jun 29 07:30:26 PDT 2015 --  This is fucking brilliant!! Shock pregnancies for women as 'teatox' dieting stops Pill working http://dailym.ai/1QW65KL  via @MailOnline
Sun Jun 28 11:50:00 PDT 2015 --  So excited for next week payday week and #Tattoo time!!! Eeeeeek
Sun Jun 28 11:31:39 PDT 2015 --  🏼️ pic.twitter.com/FyqpYVDzo1
Fri Jun 26 01:04:43 PDT 2015 --  Selfie for Friday pic.twitter.com/0lgNwTnosU
Tue Jun 23 11:21:54 PDT 2015 --  Wisdom tooth is giving me a hard time today #ImNotFeelingAnyWiser #Paid
