Tue Aug 18 15:52:00 PDT 2015 --  Cuando estas escuchando x canción y la siguiente es "She's Kinda Hot" y te arrastra automáticamente #ShesKindaHotVMA pic.twitter.com/HvIxn9Maz8
Tue Aug 18 16:39:19 PDT 2015 --  Go watch Matt's new vine 🏼 https://vine.co/v/epE2xidBi3z  Like 🏼 and revine Ilysm @TheMattEspinosa x44
Tue Aug 18 16:46:45 PDT 2015 --  When I see HQ pics of 5SOS #ShesKindaHotVMA https://vine.co/v/M9O0HHhAPDv 
Tue Aug 18 16:54:09 PDT 2015 --  RT for a follow #taylorto2million
Tue Aug 18 16:50:13 PDT 2015 --  Me after watching Nash's video because it was that good http://youtu.be/zKv-vNYLC3M  #ILookGoodOnYou @Nashgrier pic.twitter.com/dVuDKFM8CL
Tue Aug 18 17:00:29 PDT 2015 --  Es la cosa mas linda. #ShesKindaHotVMA pic.twitter.com/lzsO6fijMZ
Tue Aug 18 15:59:43 PDT 2015 --  RT for 5sos #ShesKindaHotVMA pic.twitter.com/KMbysD8sRQ
Tue Aug 18 14:21:31 PDT 2015 --  I updated my iOS and all my apps and now I feel technologically challenged
Sun Aug 16 08:55:52 PDT 2015 --  When the drums hit in Fly Away https://vine.co/v/ephqUppaDad 
Mon Aug 17 14:33:13 PDT 2015 --  pic.twitter.com/a4nt9MeXbQ
Sun Aug 16 18:43:25 PDT 2015 --  SKH TEEN CHOICE pic.twitter.com/eLMrs2nCk6
Sun Aug 16 17:31:36 PDT 2015 --  LIVE LIVE LIVE #5SOSatTCA thanks if you watched us here it is https://www.youtube.com/watch?v=eGjO_5i1X3o … x
Sat Aug 15 16:36:08 PDT 2015 --  Calum is me I am Calum https://vine.co/v/edlTKIbIW2v 
Sun Aug 16 08:00:14 PDT 2015 --  Glad you guys are loving Fly Away! Pre-order 'Sounds Good Feel Good' on @iTunes if you wanna get an instant download http://5sosf.am/wy2bns 
Sun Aug 16 10:05:46 PDT 2015 --  Miren lo que es Luke, miren lo que es su familia. #MTVHottest 5 Seconds Of Summer pic.twitter.com/2jURk9KPuw
Thu Aug 06 11:51:10 PDT 2015 --  Add the snapchat - yaboyhayesg
Sat Aug 15 14:32:17 PDT 2015 --  When #SoundsGoodFeelsGood came out the fam will be like pic.twitter.com/CXkrvOEWGq
Fri Aug 14 21:24:52 PDT 2015 --  Quien se va a llorar conmigo al rincón #MTVHottest 5 Seconds Of Summer pic.twitter.com/OPoawBgqM6
