Sun Aug 02 13:46:49 PDT 2015 --  Splish Splash pic.twitter.com/qr2540qN2h
Sun Aug 02 13:45:50 PDT 2015 --  Good day to play pic.twitter.com/PDXTHP9PaM
Sun Aug 02 13:42:28 PDT 2015 --  Playin' in the pool with my grandson pic.twitter.com/8FVYMYrl4Z
Sun Aug 02 12:30:56 PDT 2015 --  Grabbing coffee at the drive thru pic.twitter.com/U3qeUaSYrX
Sun Aug 02 11:31:31 PDT 2015 --  I've collected 10,067 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 11:01:17 PDT 2015 --  I've harvested 1,640 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 10:51:01 PDT 2015 --  I have discovered a new territory in The Tribez! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 10:33:05 PDT 2015 --  I've collected 7,472 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 10:33:05 PDT 2015 --  I've harvested 1,040 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 10:30:17 PDT 2015 --  I've collected 10,284 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 02 09:18:15 PDT 2015 --  saw mission impossible Friday....in RPX... KICKED ASS. Loved it
