Tue Jun 02 18:03:24 PDT 2015 --  "Kenapa kita baca Quran kalau kita tak faham?" "Dah kenapa kau tengok drama Korea?" "Lain. Ada subtitle." "Quran ada terjemahan kan?"
Fri Jun 19 00:00:09 PDT 2015 --  Alahai kecik2 lgi dh hensem.. https://twitter.com/TheEarthPeople/status/610634044389220352 …
Thu Jun 18 03:21:34 PDT 2015 --  Pesanan di bulan ramadhan dari the triplets Jaga hati Jaga mulut Jaga telinga Jaga mata pic.twitter.com/y1j2GmYkG4
Thu Jun 18 23:28:38 PDT 2015 --  Ramadhan tanpa solat dan Al-Quran, adalah mogok lapar untuk diri sendiri. Bukan untuk ALLAH.
Thu Jun 18 14:59:46 PDT 2015 --  Sabda Rasulullah saw : تَسَحَّرُوا فَإِنَّ فِي السَّحُورِ بَرَكَةً Bersahurlah, kerana dalam sahur itu ada keberkatan [Al-Bukhari]
Thu Jun 18 15:09:18 PDT 2015 --  Salam Jumaat, Perbanyakkan selawat. Allahumma solli wasallim 'ala Sayyidina Muhammad wa'ala aalihi wasohbihi wasallim
Thu Jun 18 03:09:53 PDT 2015 --  Ada tiga waktu terkabulnya doa di bulan Ramadhan: 1. Waktu sahur 2. Saat berpuasa 3. Ketika berbuka puasa
Wed Jun 17 14:36:28 PDT 2015 --  This is pretty sad because I miss having my family around for sahur.
Wed Jun 17 16:30:18 PDT 2015 --  my face when i am up early pic.twitter.com/MgYvwnA7b4
Wed Jun 17 08:13:45 PDT 2015 --  "Sanggup online walaupun ngantuk tapi tak sanggup baca Al-Quran walaupun sedang celik." Muhasabah #uitmconfession
Wed Jun 17 09:03:19 PDT 2015 --  Bestnya dua ketul tu tido bwah ketiak mak diorng. So cuteee https://twitter.com/WarmingCuteness/status/611105018998095873 …
Wed Jun 17 08:35:54 PDT 2015 --  Dia cakap dengan kawan dia, Woi, esok kalau aku terlajak, kau kejut aku sahur. The problem is, kawan dia pun harapkan dia kejut. Kah Kah.
Wed Jun 17 08:59:41 PDT 2015 --  Mengantuknyaa study arab ni.
Fri Jun 12 04:30:05 PDT 2015 --  What I do when I am alone 1) Overthinking 2) Listen to music 3) Read old texts 4) Thinking about my life 5) Sleeping 6) Tweeting
Sat May 23 20:42:44 PDT 2015 --  " Lelaki yang betul nama lelaki je bercerita pasal perempuan dekat parents dia. Gentle k."
Fri May 29 06:11:49 PDT 2015 --  Most girl nowadays suka lelaki yg pandai ambik hati dia,yg kelakar yg leh masuk kepala dgn dia. Daripada lelaki handsome tapi bosan buat pe
Sat May 30 01:16:17 PDT 2015 --  " Manusia yang paling penting dalam hidup kau siapa? " Ibu aku sebab dia je yg paling faham perangai aku .
Sun May 31 20:37:24 PDT 2015 --  Wanita mampu menyembunyikn rasa cintanya bhkan smpai 40 thn lamanya, tp ia tak mampu mnahan cemburunya walau hnya sesaat Ali bin Abi Thalib
Mon Jun 01 00:59:16 PDT 2015 --  Perempuan always rasa insecure sebab dia rasa dia tak cukup cantik untuk lelaki yang dia sayang & takut another girls replace her."
Wed Jun 10 09:17:13 PDT 2015 --  Chocolate Brownie Sundae pic.twitter.com/obu4qS3N6h
Tue Jun 09 22:11:58 PDT 2015 --  Setiap manusia itu rezekinya berbeza-beza. Usah banding mana lagi hebat. Kau punya rezeki sudah Allah tulis yang paling baik untuk kau.
Wed Jun 10 04:25:18 PDT 2015 --  Dlm byk2 wana. Wana hitam jugak yg nmpak menawan . Omelnyaa. https://twitter.com/FazrulIshak/status/608526108581978112 …
Wed Jun 10 02:37:49 PDT 2015 --  Dia x pernah pukul wanita. Bila blk rumah, tiada makanan, dia akn kata pada isterinya yg dia puasa" "Siapa dia? "Itulah Muhammad"nabi kita
Tue Jun 09 08:33:29 PDT 2015 --  "Tidak ada yang lagi bermakna selain doa ibu dan ayah"
Tue Jun 09 08:44:37 PDT 2015 --  Bestnyaa dpt peluk cik tedd.
Tue Jun 09 07:51:01 PDT 2015 --  Apa kabar la org disna?
Sat May 16 21:20:24 PDT 2015 --  Bila da ada baby sendiri, rasa macam heaven ja. Baby is beautiful gift from Allah. pic.twitter.com/vxwEWRH4Ns
Tue Jun 09 03:10:02 PDT 2015 --  Thank you groupmates. pic.twitter.com/hRgFL1zOB5
Tue Jun 09 02:40:26 PDT 2015 --  Into the woods #vscocam #vsco #nature https://instagram.com/p/3tCQcJO2Uw/ 
Mon Jun 08 21:24:11 PDT 2015 --  Alhamdullilah for the gift. Mcm tak sangka je. Rezeki.
Mon Jun 08 16:42:32 PDT 2015 --  8 hari lagi Ramadhan. Sampaikanlah ya Rabb..
Sat Jun 06 18:18:06 PDT 2015 --  Trying to lose weight? Don't eat anything 4 hours before you go to bed. It makes a huge difference
Sat Jun 06 19:30:13 PDT 2015 --  Singing exercises your heart and lungs, releasing endorphins that make you feel good.
