Tue Jul 14 20:15:41 PDT 2015 --  FUCK @iTunes! Thank you @AppleMusic for fucking up my music life! Worse upgrade ever.
Tue Jul 14 17:14:49 PDT 2015 --  Let him surf @Titans!!!!!!! #HangTen
Tue Jul 14 16:39:41 PDT 2015 --  Can we get a surprise @lollapalooza from these 2!? https://twitter.com/2dopeboyz/status/621061686531756032 …
Tue Jul 14 11:15:14 PDT 2015 --  lol this baby is savage af pic.twitter.com/bH7qzvWbKo
Sun Jul 12 12:45:41 PDT 2015 --  . @ScottyDReports I meen there's always Rondo. #GoSpursGo
Sun Jul 12 11:54:00 PDT 2015 --  Just started - A Horrible Way To Die. Going back to where it all started @AdamWingard @Simon_Barrett #FirstTime
Sun Jul 12 09:29:33 PDT 2015 --  Congrats 2 the Joker! #SuicideSquad https://twitter.com/espnstatsinfo/status/620268253193986048 …
Sat Jul 11 12:12:22 PDT 2015 --  Stop what you're doing and watch the new Batman Vs Superman trailer http://trib.al/O2ar6qN  #SDCC pic.twitter.com/x38EgJeUd6
Sat Jul 11 08:10:02 PDT 2015 --  . @diegtristan8 "she is built like a man". Yeah, my husband looks just like this in a dress. You're an idiot. pic.twitter.com/BCvT10MYkI
Fri Jul 10 15:30:56 PDT 2015 --  If what Greg Hardy did to a woman is worth only a 4-game suspension, Datone Jones' suspension should be reduced to 3 plays.
Fri Jul 10 11:14:08 PDT 2015 --  @trvisXX @HipHopNation #3500 pic.twitter.com/PHLlNWJ2Ud
Thu Jul 09 20:08:04 PDT 2015 --  Masterfully executed 'Mad Max' meets 'Frozen' crossover. #sdcc pic.twitter.com/qxlgtP1Z3h
Thu Jul 09 16:35:33 PDT 2015 --  I want 2 thank the Leonsis Family, and the entire Wizards organization 4 giving me another opportunity to compete for a ring! DC I'm back!!!
Thu Jul 09 14:57:36 PDT 2015 --  Bring back Celebrity Boxing...! Charlotte McKinney v. @KateUpton... #EverybodyWins
Thu Jul 09 11:05:47 PDT 2015 --  #SWAG https://twitter.com/monroe_sa/status/619192037418647552 …
Wed Jul 08 17:40:36 PDT 2015 --  Dude coming back to b the 3 wheeeeeeel - I thought he didn't want that.. #Hostage https://twitter.com/ramonashelburne/status/618939738930724864 …
Wed Jul 08 08:05:04 PDT 2015 --  #HardWork https://twitter.com/lildurk_/status/618657992855044096 …
Tue Jul 07 22:48:54 PDT 2015 --  @ScottyDReports i am what i am I'm a role model to the world
Tue Jul 07 17:11:29 PDT 2015 --  . @zona2783 @Pebler18 He gonna "hit" him sum #BearDowns that's for sure! @FearTheFork_ASU
Tue Jul 07 15:42:10 PDT 2015 --  . @elmayimbe dude u gotta fix @heroichollywood on iOS.. I'm sick of this shit!
Tue Jul 07 13:22:49 PDT 2015 --  #GoPackGo https://twitter.com/dopeboyshake/status/618515026215723008 …
Mon Jul 06 13:53:43 PDT 2015 --  Spurs update pic.twitter.com/0IDSDzRtr3
Mon Jul 06 09:57:01 PDT 2015 --  Will Vic Mensa, Pia Mia, Bea Miller or Nathan Sykes be the next Vevo LIFT artist? Vote in the #LIFTFanVote! http://www.vevo.com/c/en/US/liftfanvote …
Mon Jul 06 07:59:58 PDT 2015 --  Final Season of The League starts filming NOW! pic.twitter.com/Iz6m7qa51Y
Sat Jul 04 09:23:36 PDT 2015 --  I mean Ruh Roh Shaggy! https://twitter.com/dgreen_14/status/617367183052677120 …
Sat Jul 04 09:18:00 PDT 2015 --  Let's Do This @Pebler18 https://twitter.com/aldridge_12/status/617366531958116352 …
Sat Jul 04 08:21:49 PDT 2015 --  Bye #Scientology https://twitter.com/kylebrandt/status/617339615419211776 …
Sat Jul 04 07:30:08 PDT 2015 --  Happy Birthday, America. And Happy Birthday, Tom Cruise.
Sat Jul 04 01:19:57 PDT 2015 --  . @trvisXX 5 #MOES
Fri Jul 03 10:40:30 PDT 2015 --  Can't Trust #DOTS https://twitter.com/mitchgmcdonald/status/617023754766389248 …
Fri Jul 03 08:11:31 PDT 2015 --  june's over? Julying.
Thu Jul 02 19:31:34 PDT 2015 --  I spy @mrkevinconnolly smoking a joe in Rocky V!@jerryferrara pic.twitter.com/NT0Mxwas7O
Thu Jul 02 14:46:33 PDT 2015 --  Niiiiice! https://twitter.com/uclambb/status/616720153116413952 …
Wed Jul 01 16:21:43 PDT 2015 --  . @dopeboySHAKE @Lakers can still always sign Andrew Bynum... #SWISH
