Mon Aug 04 11:55:22 PDT 2014 --  Sore throat and body aches... Not the move.
Thu Jul 31 15:55:45 PDT 2014 --  Grind month!
Thu Jul 31 10:16:18 PDT 2014 --  Woodward Academy Throwbacks! #throwbackthursday #tbt #woodwardacademy
Wed Jul 30 10:30:01 PDT 2014 --  #webgemwednesday to the other night. Walk off homer in the 10th. #greatfeel #imhooked tonykemp6… http://instagram.com/p/rFWht_J37q/ 
Tue Jul 29 10:48:42 PDT 2014 --  #transformationtuesday and a little throwback. Some things never change. http://instagram.com/p/rCz3tdJ3-i/ 
Sun Jul 27 10:09:03 PDT 2014 --  THIS JUST IN: LeBron James decides to return to number 23 for the Cavaliers. pic.twitter.com/OVVRNopwjB
Thu Jul 24 14:58:06 PDT 2014 --  #tbt #throwback WOODWARD ACADEMY FOOTBALL #woodward #wareagle #collegepark
Wed Jul 23 22:18:45 PDT 2014 --  The song wagon wheel reminds me of my boy E. Rest in peace man I know you in heaven playing this song on your guitar. I miss you brotha!
Wed Jul 23 13:03:40 PDT 2014 --  “ @UberFacts: Cats can remember love and kindness shown to them, and return it in the future.” @yagirlKD
Mon Jul 21 12:47:47 PDT 2014 --  #stirupthelion http://fb.me/3GXLg2xPI 
Sun Jul 20 09:48:05 PDT 2014 --  Little boy sitting next to me in church this morning asked, "what's God's last name?" The cutest.
Wed Jul 16 10:25:32 PDT 2014 --  “ @bwalters34: Was a pleasure, but excited for what the future holds and getting to play for the Atlanta Braves.” Ayye that's awesome!
Wed Jul 16 06:14:36 PDT 2014 --  Why does everybody stand up and sing "Take Me Out to the Ballgame" when they're already there? ~Larry Anderson
Mon Jul 14 14:47:06 PDT 2014 --  My bee bop pic.twitter.com/HVfvhsLEaM
Sun Jul 13 00:51:31 PDT 2014 --  This gas station stop is so clutch. #parched
Sun Jul 13 00:24:09 PDT 2014 --  LeBron lost in the NBA Finals in '07, '11, and '14. He announced his return to Cleveland on 7/11/14. #Illuminati pic.twitter.com/8gf5To4IiK
Fri Jul 11 10:51:27 PDT 2014 --  I feel like I'm watching a really dramatic movie starring LeBron James. Respect and kudos to that man though. #classact
Fri Jul 11 09:53:37 PDT 2014 --  This nigga gone kill lebron, on god bra! pic.twitter.com/z3LHCrIGkd
Sun Jul 06 10:49:07 PDT 2014 --  So happy for my sweetie today! Can't wait to cheer you on! #backatit @OfficialBuck103
Sun Jul 06 11:04:25 PDT 2014 --  Baseball is the place in life where sacrifice is really appreciated . #sacrifice #bunt #baseball #houstonastros... http://fb.me/6Ouz40BFj 
Fri Jul 04 10:41:41 PDT 2014 --  Nothing better than getting to play on the 4th of July!
