Wed Jun 17 11:52:12 PDT 2015 --  Me: can I go see The Weeknd in concert? Mom: sure, show me a song Me: https://vine.co/v/O6z21TvgLd7 
Thu Jun 18 14:59:31 PDT 2015 --  Unfortunately there will be no video tonight /: I'm sorry guys
Mon Jun 15 15:05:08 PDT 2015 --  happy birthday to one of my fav human beings on earth @alfredoflores!!!!!! you are an actual angel. a goooooood fkkin egg. i love u, fredo!!
Mon Jun 15 10:20:05 PDT 2015 --  love u my babes. another reminder.
Sun Jun 14 10:48:59 PDT 2015 --  @sweetbocalove pink champagne oh my god I would've died I'm so happy she's not forgetting about that song it's so cute
Sat Jun 13 12:10:44 PDT 2015 --  i love you köln. you were........ . thank you so much.
Sat Jun 13 14:30:30 PDT 2015 --  
Sat Jun 13 08:00:30 PDT 2015 --  just finished meet n greet. gdddamn, y'all are cute. see you soon, köln.
Sat Jun 13 04:26:01 PDT 2015 --  Wer steht schon in der Reihe für #honeymoontourcologne ? :)
Sat Jun 13 00:53:04 PDT 2015 --  I AM GOING TO SEE @ARIANAGRANDE TODAY OMFG
Fri Jun 12 16:58:44 PDT 2015 --  Just enjoying some ice cream with my man on the boardwalk PS. In our new video we announced the… https://instagram.com/p/32SCSNIi5d/ 
Fri Jun 12 16:03:25 PDT 2015 --  Loved your videooo @gabcake @nikidemar
Fri Jun 12 07:19:43 PDT 2015 --  afternoon babes. i love u. see u soon antwerp!
Thu Jun 11 10:40:21 PDT 2015 --  NEW VIDEO! 5 Easy NO HEAT Summer Hairstyles + Ways to style them! http://youtu.be/xXVkwS8J8h8 
Wed Jun 10 11:23:15 PDT 2015 --  pink tea is the most beautiful thing ive ever ever ever seen
Tue Jun 09 17:00:29 PDT 2015 --  makes me wonder where the parents are to these children!
Tue Jun 09 16:59:48 PDT 2015 --  the amount of trashy seniors on the boardwalk for senior week makes me question our society and generation
Tue Jun 09 07:43:23 PDT 2015 --  everybody please watch this and then say "thaaaank you, tyler" https://twitter.com/tywrent/status/608256161213763584 …
Mon Jun 08 14:53:13 PDT 2015 --  i. can't. with. this. sign. hahhaha! glasgow i love you. you were amazing. thank you. p.s. there was… https://instagram.com/p/3rxU-syWX6/ 
Thu Jun 04 21:35:55 PDT 2015 --  lovin life rn
Sun Jun 07 14:46:42 PDT 2015 --  this was phenomenal @ArianaGrande . u need to be cinderella on broadway. but lose a lavender heel rather a glass slip pic.twitter.com/1wX7znrQo6
Sun Jun 07 21:15:12 PDT 2015 --  subbie of the week goes to : @NikiandGabiPH
Fri May 29 11:06:00 PDT 2015 --  amsterDAAAAYYYYUUUUUMMMMMNNN
Fri May 29 07:40:04 PDT 2015 --  that's not from moonlight.... it's from the intro oops
Sun Jun 07 12:12:47 PDT 2015 --  beach pic.twitter.com/YsIi652I9i
Sun Jun 07 12:29:32 PDT 2015 --  Im so close to 2k
Thu Jan 22 20:11:37 PST 2015 --  Hello love https://twitter.com/xsmilebeauty/status/558477035925159936 …
Sun Jun 07 12:23:06 PDT 2015 --  PROMISE https://twitter.com/xsmilebeauty/status/558474980347097088 …
Sun Jun 07 11:26:31 PDT 2015 --  so yes, that means 3 general admission tickets have a chance of getting a better deal than VIP
