Fri Aug 14 08:35:17 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DayOfZen pic.twitter.com/X4DmHeN6Wq
Fri Aug 14 07:45:54 PDT 2015 --  OnePlus 2 International Giveaway @androidauth https://wn.nr/Abrvp 
Fri Aug 14 06:36:18 PDT 2015 --  Still editing for additional entries haha!
Fri Aug 14 04:36:06 PDT 2015 --  Mwa ha ha ha!
Thu Aug 13 08:42:05 PDT 2015 --  Horror time teeheee
Thu Aug 13 08:40:48 PDT 2015 --  Meow #ZenPet #100DaysOfZen #Zenfone pic.twitter.com/7aUyIKuMJy
Thu Aug 13 08:38:00 PDT 2015 --  You just can't throw it away like that! ! ! Okay!
Thu Aug 13 08:36:47 PDT 2015 --  Hmm just go with the flow, for a whileeee
Thu Aug 13 08:32:46 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/GvZziXAdrM
Thu Aug 13 08:32:19 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/NpXQWPvOQD
Thu Aug 13 08:31:24 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/i9fqZSyezR
Thu Aug 13 08:30:57 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/dbjLsJW5rP
Thu Aug 13 08:30:21 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/UTppfo7Yk9
Thu Aug 13 08:29:54 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/rg9JYKiyzC
Thu Aug 13 08:29:39 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/Ps0tQ1p17r
Thu Aug 13 00:22:28 PDT 2015 --  OnePlus 2 International Giveaway @androidauth https://wn.nr/Abrvp 
Wed Aug 12 08:30:10 PDT 2015 --  when you start writing on paper without margins and this happens
Wed Aug 12 09:43:08 PDT 2015 --  Keep it simple
