Sat Apr 04 21:35:02 PDT 2015 --  I still wish that one day , Zayn will come back and that we could say to a new directioners who doesn't know Zayn, " that's One Direction "
Sat Apr 04 21:40:10 PDT 2015 --  RT THIS FOR 5 FREE FOLLOWS ILL DO THEM TOMORROW MORNING NIGHT I vote for One Direction #TheyreTheOne @radiodisney pic.twitter.com/fIYbqQ84NV
Sat Apr 04 21:49:22 PDT 2015 --  Rt if you remember this song I vote for #Directioners - One Direction #SoFantastic @radiodisney pic.twitter.com/Nzsd9CeFNu
Sat Apr 04 21:52:22 PDT 2015 --  this picture is means so much.... #RespectForZayn #OneDirection "Steal my Girl" #XOXO @radiodisney pic.twitter.com/wIx87YSUL8
Sat Apr 04 18:24:48 PDT 2015 --  zayn has done so many amazing and inspiring things in life & now that he has left one direction doesn't mean people can talk shit about him!
Sat Apr 04 08:00:05 PDT 2015 --  Get more roasting and less bleeping with the extended and uncensored #BieberRoast on iTunes. http://on.cc.com/1I5BfqO 
Sat Apr 04 20:56:14 PDT 2015 --  The Boys, last night in Dubai. I vote for #OneDirection #TheyreTheOne @radiodisney -zach pic.twitter.com/scVe69uJ9a
Sat Apr 04 20:32:23 PDT 2015 --  you call him a terrorist, i call him a hero. #RespectForZayn pic.twitter.com/XSI5EaW6qh
Sat Apr 04 06:10:35 PDT 2015 --  . @TheVampsband want to see you at their next soundcheck! Make it happen w/ a VIP pkg today! http://bit.ly/TheVAMPSBandVIP 
Sun Oct 05 04:50:45 PDT 2014 --  Hometown for me and B-Rad tonight! if you could be as awesome as Liverpool that'd be lovely pic.twitter.com/qvdAOttCHp
Sat Mar 28 04:55:19 PDT 2015 --  pic.twitter.com/kuI8KGiXJN
Sat Apr 04 09:24:46 PDT 2015 --  Niall: Up All Night - Where We Are pic.twitter.com/74HAT0Uvz3
Sat Apr 04 09:24:36 PDT 2015 --  Easter with the kids. NJ. https://instagram.com/p/1D0LfgyVBK/ 
Sat Apr 04 07:52:39 PDT 2015 --  “I vote for #Directioners – One Direction #SoFantastic @radiodisney” pic.twitter.com/0iMVvVwxMW
Sat Apr 04 02:25:22 PDT 2015 --  IF YOU DONT RT THIS YOU WONT MEET THE LADS. I vote for #TheVamps "Somebody to You" #MusicalMashup @radiodisney @TheVampsband
Sat Apr 04 07:26:39 PDT 2015 --  @zaynmalik I MISS U SO MUCH & I LOVE U https://www.youtube.com/watch?v=zPeTG4MhnBA … … & https://www.youtube.com/watch?v=cCanH2L-Dqs … … GOO WATCH IT..U PEOPL WIL LOVE IT @marynneber
