Fri Jul 26 08:30:55 PDT 2013 --  “ @nicoeick: Ate a pulled pork sandwich for breakfast, why am I so country?”that's delicious
Fri Jul 26 05:22:59 PDT 2013 --  Rankings don't matter until end of November so I do not wanna hear no pre- season hype.. #autotalk
Mon Jul 22 19:21:04 PDT 2013 --  Females are becoming heartless.. playing niggas..using niggas for head & Sex.Females are becoming the new Niggas lol "
Mon Jul 22 19:50:17 PDT 2013 --  “ @JBridges82: " @Salute_me17: Who on twitter today? Hit me up!!!!" Tiger fan here from Allendale!!! #AllIn #803Fam” 803 in the house!!!!
Mon Jul 22 19:49:50 PDT 2013 --  “ @MBremer4: @Salute_me17 How's the lil one doin?”RT she's doing great!!!
Mon Jul 22 17:50:00 PDT 2013 --  Who on twitter today? Hit me up!!!!
Thu Jul 18 05:40:43 PDT 2013 --  Rt oh I know “ @ZahtiaHoney: Your always cool in my book “ @Salute_me17: @ZahtiaHoney I ain't cool enough to get a follow back””
Thu Jul 18 05:27:00 PDT 2013 --  What you're dealing with currently ain't as bad as it seems. Stop,focus & get it 2gether. Your full Attention is needed. U got this! #TRUTH.
Tue Jul 16 10:32:33 PDT 2013 --  Workout time!!! Time to get better in my mind. #grindflow
Sat Jul 13 19:12:39 PDT 2013 --  American "justice system" never ceases to amaze me
Fri Jul 12 16:14:27 PDT 2013 --  Dream as if you'll live forever. Live as if you'll die today.
Thu Jul 11 10:24:33 PDT 2013 --  “ @Shawtyy_TINK: @Salute_me17 I dont have friendS....i have one I was sayin in general....” I use to think the same way lol
Thu Jul 11 10:22:26 PDT 2013 --  “@Blankyboy11: Do you REALLY understand how powerful your mind is!?” POWERFUL CN do magic & it cn do damage! Wt the mind believe da body....
Thu Jul 11 10:17:26 PDT 2013 --  “ @Shawtyy_TINK: Dat "i care n will always b there" line is only temporary unless we talkin bout GOD” wrong set of friends!
Wed Jul 10 18:37:31 PDT 2013 --  Vibin with the youngin!!!!!
Wed Jul 10 10:27:36 PDT 2013 --  What NFL team you could see me playing for?
Wed Jul 10 10:03:32 PDT 2013 --  True love always finds you no matter the wait nor circumstances!
Sat Jul 06 21:31:49 PDT 2013 --  Don't confuse my personality and my attitude because my personality is ME and my attitude depends on YOU. #autotalk
Fri Jul 05 09:27:56 PDT 2013 --  “ @YouuCookIEat: @Salute_me17 How? Lol. What I done did now?”no comment think back
Fri Jul 05 09:25:24 PDT 2013 --  “ @YouuCookIEat: On our way to ATL. ”not you!!!!!!!!!!!!!!
Thu Jul 04 10:07:15 PDT 2013 --  “ @DeiondraSanders: Thinking bout being basic today and wearing my flag shorts since its 4th of July lol ” is that possible?
Thu Jul 04 05:01:13 PDT 2013 --  I've fought,bled,an killed4U America an wouldn't hesitate 2do it again! Beyond proud2B #American. #Happy4thofJuly Appreciate freedom people!
Wed Jul 03 19:32:56 PDT 2013 --  “@PrimeTimeBake: S/O To Everybody That Said I Was Too Small” thanks bro lol
Wed Jul 03 17:33:21 PDT 2013 --  What the mind think can happen will happen! Mind over matter!!
Wed Jul 03 17:04:11 PDT 2013 --  too many dehydrated girls in this world (thirsty)
Wed Jul 03 14:46:49 PDT 2013 --  Headed to play pool for a bit! #aintnothingelsetodo
Wed Jul 03 14:31:40 PDT 2013 --  S/O to my newest follower very beautiful Sista!
Wed Jul 03 11:59:10 PDT 2013 --  Twitter just got boring to me!!! People don't talk!
Wed Jul 03 11:25:52 PDT 2013 --  I need new friends!!!!!
Wed Jul 03 09:02:30 PDT 2013 --  Money don't sleep neither do greatness
