Sat Aug 15 05:56:32 PDT 2015 --  Top 10 players debate are great until someone takes it personally. Or when the only way to build up one player is to tear another down.
Sat Aug 15 05:33:16 PDT 2015 --  Ross Barkley is a boss. Would fit nicely in Milan's midfield. Make it happen Galliani.
Fri Aug 14 12:09:46 PDT 2015 --  Roma look amazing. Granted Sevilla look equally as poor. Serie A should be pretty exciting this year at the top.
Thu Aug 13 23:03:31 PDT 2015 --  After offering 40m for Kondogbia we can't call Milan cheap if they don't want to spend 35m on Witsel. They maybe don't think he's worth it.
Thu Aug 13 17:58:18 PDT 2015 --  12-yard TD run. No $$ sign. Welcome back, @JManziel2. #WASvsCLE http://snpy.tv/1HJMSB6 
Thu Aug 13 15:33:45 PDT 2015 --  Photo of @carlos7bacca, Zapata, @02jherson, Guarin and Murillo having dinner in Milano earlier this evening: pic.twitter.com/ummLIOCA6T
Thu Aug 13 12:59:59 PDT 2015 --  When a player leaves FC Inter - When a player leaves AC Milan pic.twitter.com/LtsHrkCa8i
Thu Aug 13 07:14:27 PDT 2015 --  #ForzaMilan pic.twitter.com/jGh16TIb66
Wed Aug 12 21:41:16 PDT 2015 --  This was me yesterday https://vine.co/v/edwJDOxK6lm 
Wed Aug 12 20:08:18 PDT 2015 --  #Classy https://twitter.com/ACMilanNorway/status/631599910991851520 …
Wed Aug 12 16:34:34 PDT 2015 --  Xq no soy yo es la gloria de Dios en mi #campeon #MVP #TrofeoTIM pic.twitter.com/thnK6GB7kx
Wed Aug 12 14:40:16 PDT 2015 --  Gérson posing with Roma's number 10 shirt before his flight to the Italian capital. Totti got a new fan. pic.twitter.com/XgmmhTd59N
Wed Aug 12 15:14:59 PDT 2015 --  Montolivo lifting that cup is the most exercise he's done since the last season.
Wed Aug 12 15:23:47 PDT 2015 --  Knowing Milan we gonna bargain for a 30 yr old keeper and sell him https://twitter.com/KeinoH/status/631588402090131456 …
Wed Aug 12 15:13:12 PDT 2015 --  Can a club captain lose his position because he's too shit? Asking for a friend. #MontilivoIsMyFriend
Wed Aug 12 15:09:44 PDT 2015 --  Can't believe Donnarruma is only 16. Fantastic future ahead of him if handled right.
Wed Aug 12 14:51:38 PDT 2015 --  lmaooo Nocerino actually scores. Must mean Zlatan is back.
Wed Aug 12 14:21:44 PDT 2015 --  Tfw Milan prefers Mexes over Paletta....
Wed Aug 12 13:21:47 PDT 2015 --  Not sure this qualifies as a "haircut" https://twitter.com/TransfersCalcio/status/631560509754621956 …
Wed Aug 12 12:40:52 PDT 2015 --  Can't stop Bacca https://vine.co/v/edXFEJ5DAIv 
Wed Aug 12 12:33:02 PDT 2015 --  Romagnoli. #InstantImpact
Wed Aug 12 12:21:23 PDT 2015 --  Antonelli and Alex diving in wild. SMH
Wed Aug 12 12:18:44 PDT 2015 --  Alex was ready to back off all the way into his own net.
Wed Aug 12 12:18:06 PDT 2015 --  Brozovic goal
Wed Aug 12 12:14:07 PDT 2015 --  WTF Mattia???
Wed Aug 12 12:12:21 PDT 2015 --  https://vine.co/v/edXH7hxHxDY 
Wed Aug 12 12:08:55 PDT 2015 --  BACCAAAAAAAAA
Wed Aug 12 11:28:32 PDT 2015 --  > Wants to win trophies. > Joins Roma. pic.twitter.com/dwk4EGvB2I
Wed Aug 12 10:44:24 PDT 2015 --  Galliani: "I don't think that PSG will let Ibra leave, but if they do, then we will try to sign him."
Wed Aug 12 10:44:58 PDT 2015 --  Galliani: "A midfielder? We don't need anything. We're well-covered in all areas."
Wed Aug 12 06:45:01 PDT 2015 --  Happy birthday @FinallyMario / Buon compleanno Super Mario! pic.twitter.com/pLR3sHdefB
Tue Aug 11 14:23:41 PDT 2015 --  FC Barcelona match AC Milan with five European Super Cups after victory over Sevilla http://ow.ly/QMBIx  #DRE4M pic.twitter.com/2Kb2VGqtzS
Tue Aug 11 11:00:48 PDT 2015 --  Pensiero su #Romagnoli. L'ho visto poco però penso che in prospettiva possa diventare un grandissimo giocatore. In bocca al lupo!
Tue Aug 11 10:31:07 PDT 2015 --  Jets gonna be the Jets. https://twitter.com/AdamSchefter/status/631155140154818560 …
Tue Aug 11 10:20:00 PDT 2015 --  Happy to get Romagnoli. Hope he gets the required time to settle in. Huge pressure given fee and expectation though.
Tue Aug 11 07:39:58 PDT 2015 --  Welcome Alessio, red&black until 2020! How does he look with our wonderful colors? #weareacmilan pic.twitter.com/d6lPw08QpQ
Tue Aug 11 04:25:50 PDT 2015 --  1999- New Milan player @jksheva7, signed from Dynamo Kiev for €23m, presented by coach Zaccheroni & Captain Maldini pic.twitter.com/qTc7hdONGV
Tue Aug 11 04:57:50 PDT 2015 --  Alessio Romagnoli is undergoing the medical tests in Milan / Visite mediche in corso per Alessio Romagnoli a Milano! pic.twitter.com/ZX3A7dcoVR
Mon Aug 10 14:49:39 PDT 2015 --  Sky reports that Milan will pay the €25m for Romagnoli over 5 years. There aren't any bonuses included.
Mon Aug 10 06:20:33 PDT 2015 --  Still don't understand why Inter were so keen on getting rid of Shaqiri. Maybe I miss something?
Mon Aug 10 06:18:43 PDT 2015 --  26 – #Shaqiri had a 26 minutes played/chance created ratio in Serie A 14/15, more than any other Inter’s player with 3+ apps. Misunderstood.
Sun Aug 09 16:44:09 PDT 2015 --  Payet sacó a pasear a Chamberlain hoy en Emirates y las bromas no tardaron en llegar... Todavía lo sigue buscando. https://vine.co/v/ewQ6Ow71FEE 
Sun Aug 09 16:53:56 PDT 2015 --  Lampard not sharp at all.
Mon Jul 20 08:29:59 PDT 2015 --  lo más cerca que va a estar la Roma de una champions pic.twitter.com/LAgX3rnozb
Sun Aug 09 14:09:23 PDT 2015 --  €30m for a 20 year old CB is a lot. But encouraging that Milan finally sign a talented young defender. #Romagnoli
Sun Aug 09 13:19:13 PDT 2015 --  Judging by these line ups, Serie A will be so good next year. pic.twitter.com/WaCMsWvezp
