Thu Aug 20 21:10:06 PDT 2015 --  [Pics/Trans] 150821 Junsu Instagram Update https://pinkrazy.wordpress.com/2015/08/21/picstrans-150821-junsu-instagram-update … pic.twitter.com/dmtHnMQUC8
Thu Aug 20 21:00:28 PDT 2015 --  pic.twitter.com/tCVLG4xY5t
Thu Aug 20 20:11:03 PDT 2015 --  Twix Ice Cream Pie pic.twitter.com/br8zjoNkMm
Thu Aug 20 18:45:02 PDT 2015 --  [JYJ FB] Before Yuchun leaves us for a while, we prepared some time between him and his fans for communication. pic.twitter.com/ctlydZkrgI
Thu Aug 20 21:07:25 PDT 2015 --  Ada gwangsoo #salahfokus https://twitter.com/soompi/status/634576098584592385 …
Thu Aug 20 17:05:37 PDT 2015 --  It's the only way worth living. pic.twitter.com/UwJNXT3rKY
Thu Aug 20 16:53:03 PDT 2015 --  @lisnasanta @ruysheka kubales nih.. sekarang lagi giliran utang junho... wahahahahaha....
Thu Aug 20 08:47:51 PDT 2015 --  [PHOTOS] 150820 Yoochun - Guerilla Date at Mecenatpolis Mall http://bit.ly/1gYH5lE  (cr:tag) pic.twitter.com/ZXhWK55E7O
Thu Aug 20 16:24:13 PDT 2015 --  Pagi-pagi disuguhin drama sama @bygjjang!!!! MIMO MANA MIMO!!!!! Gue gemes!!!!!
Thu Aug 20 05:25:10 PDT 2015 --  Batere hp low #brboff
Thu Aug 20 04:54:25 PDT 2015 --  #np Kim Junsu - Story #Osaka
Thu Aug 20 02:53:04 PDT 2015 --  MIMO NEMBOK LAGI!!!!,AND HIKARI SAID BAYI KITAAAA WTF!!!! JENGJENG!! Kae mampus jae
Wed Aug 19 20:42:09 PDT 2015 --  B.A.Pデヒョン、メンバーたちとプールで水遊びするキュートな姿公開！ http://bit.ly/1JjCpxp  K-POPニュースはKpopSt★rz http://bit.ly/kpopjp 
Thu Aug 20 01:11:03 PDT 2015 --  Burger birthday cake. ' pic.twitter.com/E9GVO7Vw2B
Thu Aug 20 00:51:25 PDT 2015 --  sumhaw, saya bayangin dae yg ngomong gini ke yuni... =)) @ruysheka *puter lagi lagu Yeppeo* https://twitter.com/PoemPorns/status/634258810501251072 …
Thu Aug 20 00:32:20 PDT 2015 --  Kok asa cocok sama yg diomongin Hyena ke Hikari ya :-/ https://twitter.com/PoemPorns/status/634266168942043137 …
Thu Aug 20 00:29:08 PDT 2015 --  Anjriiitt dietnya mantab. Irinyaaaa https://twitter.com/Koreaboo/status/634261116588191744 …
Thu Aug 20 00:11:04 PDT 2015 --  Pizza Nachos ' pic.twitter.com/vrZryFy8l4
Wed Aug 19 22:18:06 PDT 2015 --  Black art. pic.twitter.com/7tIadfYIYv
Wed Aug 19 22:24:45 PDT 2015 --  [PHOTOS] 150820 Changmin - Others Instagram Update http://bit.ly/1NwloGx  pic.twitter.com/qE1HZfqKTF
Wed Aug 19 23:28:38 PDT 2015 --  食べたい!!!お寿司を食べたい。フアアアーーーーー https://twitter.com/LetsLoveFood/status/634246246291611648 …
Wed Aug 19 20:38:04 PDT 2015 --  I vote for @SOS_Children to #UpgradeYourWorld #Vote http://windows.com/upgradeyourworld …
Wed Aug 19 20:35:53 PDT 2015 --  Pusing pala berbi~~~~
Wed Aug 19 20:14:34 PDT 2015 --  Preetttt... gue nembok pake chihaya... gatel mau marahin hikari gue wwwww marahin pake cara alus tp :v
Wed Aug 19 19:40:57 PDT 2015 --  Aww so cute RT “ @0104iamAIR: #YunJae Good Morning Baby~ (cr_Ran) pic.twitter.com/rFdzEOpUan”
Wed Aug 19 19:23:14 PDT 2015 --  Check out more teasers and photos from Juniel's upcoming 'Sorry' comeback! http://www.allkpop.com/article/2015/08/check-out-more-teasers-and-photos-from-juniels-upcoming-sorry-comeback … pic.twitter.com/Y7iGEHXxK6
Wed Aug 19 19:11:03 PDT 2015 --  Pepperoni Pizza Fries. pic.twitter.com/3siXWeiUNL
Sun Aug 02 00:38:09 PDT 2015 --  Midorima & Takao #KurokoNoBasket #MidoTaka #Yaoi pic.twitter.com/knEiKW8EKr
Sat Aug 01 17:42:06 PDT 2015 --  Midorima & Takao ( ) #Doujinshi #KurokoNoBasket #MidoTaka #Yaoi pic.twitter.com/Y6x3PGMAGa
Wed Aug 19 18:30:58 PDT 2015 --  Butuh asupan kucing (´TωT`) pengen ngelus2~
Wed Aug 19 18:52:11 PDT 2015 --  Sumpah macetnya sampai bis gue brutal bgt nyalipnya.....
Wed Aug 19 18:50:30 PDT 2015 --  Jiirrrr kuningan macet parah. Udah berangkat di jam biasa berangkat masih aja kena macet.
Wed Aug 19 18:03:28 PDT 2015 --  #np kim jun su (xia) - dont leave
Wed Aug 19 17:34:46 PDT 2015 --  Terus gue menyadari satu hal: Nama anak gue berasa jadi kmbar gara2 ditulis berdasarkan ucapan =)) Yunhee = Yuni Yoona = Yuna Wkwkwkwkwk
Wed Aug 19 17:29:38 PDT 2015 --  Terus tretnya chihaya-jae-hikari jd fast gini =)) =)) gue terjebaaakkk!!!! Wwwwwwwww *genjreng gitar* gue menghadapi dua manusia nafsu
Wed Aug 19 17:23:38 PDT 2015 --  The power of love https://twitter.com/WTFfactx/status/633699977169108992 …
Wed Aug 19 17:15:08 PDT 2015 --  . @UNICEFLebanon celebrates its local partners on #WorldHumanitarianDay: http://uni.cf/1JqUL5T  #WHD2015
Wed Aug 19 17:22:47 PDT 2015 --  *mager
Wed Aug 19 17:22:37 PDT 2015 --  Tidur puas tapi rasanya tetap saja maget
Wed Aug 19 16:48:01 PDT 2015 --  Dispatch lists down the female idols with the best milky-white abs -- http://aegyo.me/5Hqp  pic.twitter.com/OLYQD3oYmS
Wed Aug 19 14:20:02 PDT 2015 --  "Jelly-Pudding Couple" Taeyeon and Jung Hyung Don reunite on "Weekly Idol" -- http://aegyo.me/5Hqm  pic.twitter.com/WmypQTwGB3
Wed Aug 19 13:45:53 PDT 2015 --  Tamina: “That's impossible.” | Prince Dastan: “Difficult, not impossible.” –Prince of Persia
Wed Aug 19 17:01:22 PDT 2015 --  Ini quote kok bikin inget Hikarinya Moy sih =)) https://twitter.com/PoemPorns/status/634092601264742400 …
Wed Aug 19 07:53:48 PDT 2015 --  Drake regis. Napa berita Luhan nongol di timeline mulu wwwwwww berita jelek lg lalalala https://twitter.com/Koreaboo/status/634013238682742784 …
Wed Aug 19 07:44:02 PDT 2015 --  *nduselin si (a)bang yongguk* pic.twitter.com/AlXJkxDOm3
Wed Aug 19 06:28:17 PDT 2015 --  [Pics] 150819 Jaejoong – 2015 J-Party in Seoul Gallery https://pinkrazy.wordpress.com/2015/08/19/pics-150819-jaejoong-2015-j-party-in-seoul-gallery … pic.twitter.com/8kjrIHIuwQ
Wed Aug 19 06:18:06 PDT 2015 --  Lucu amat wwwwww https://twitter.com/Soal_Anime/status/633985671510757376 …
Wed Aug 19 06:17:01 PDT 2015 --  Emak gue nonton apaan sih... isinya tentang pembunuhan sadis semua ToT
Wed Aug 19 06:16:21 PDT 2015 --  Ihiy someone sapa tuh :v https://twitter.com/bygjjang/status/633983000904994820 …
Wed Aug 19 05:25:09 PDT 2015 --  [PHOTOS] 150819 Yoochun for Marie Claire Korea Magazine http://bit.ly/1USGSiM  pic.twitter.com/S8It8G5EhW
Wed Aug 19 05:25:34 PDT 2015 --  [VIDEO] 150819 Tohoshinki Live Tour 2015 ~WITH~ Comments http://bit.ly/1USGSzz  pic.twitter.com/RCGppcpur5
Wed Aug 19 04:45:06 PDT 2015 --  Aaahhh ga ada mimo~~~~!!! Padahal ada Hikari!!! *colek @bygjjang aja deh biar galau* https://twitter.com/Mari_navi/status/633959446243205120 …
Wed Aug 19 04:44:26 PDT 2015 --  Mukanya kok kocak sih *cubitin gemes* https://twitter.com/BAP_intl/status/633962936071929857 …
Wed Aug 19 04:24:53 PDT 2015 --  종업아웃자 https://instagram.com/p/6kCyOXpNg-/ 
Wed Aug 19 04:30:50 PDT 2015 --  Daehyun & Youngjae pic.twitter.com/ceAmkIaYlT
Wed Aug 19 04:35:10 PDT 2015 --  Jongup & Zelo pic.twitter.com/txyEpRjoKA
Wed Aug 19 04:37:20 PDT 2015 --  [INSTAGRAM] 150819 @BAP_Daehyun (dh_jung_bap) posted another photo with Jongup (4): 종업아웃자 pic.twitter.com/WV1qMa85em
Wed Aug 19 01:15:52 PDT 2015 --  Luhan claims that SM did not pay him properly, SM denies -- http://aegyo.me/5Hq8  pic.twitter.com/BuSuoVt3Zc
Wed Aug 19 00:13:32 PDT 2015 --  Lapar ga lapar... maksi harus makan ya :( hikkkksssssss
Wed Aug 19 00:13:15 PDT 2015 --  Terus kepala gue berkunang-kunang gara2 lapar... skrg mendingan
Wed Aug 19 00:12:12 PDT 2015 --  Gue udah makan (akhirnya) tapi kenapa masih lapar ya... efek lagi H apa masuk angin apa doyan wwwwwww
Tue Aug 18 22:50:11 PDT 2015 --  Si @bygjjang lama milihnya *tendang*
Tue Aug 18 22:19:08 PDT 2015 --  Pilih: Gue balas Chihaya di tret sama Jepp / Noel sama Ryuu / Yunhee sama Dae? @bygjjang
Tue Aug 18 20:00:08 PDT 2015 --  Tiffany and Bora share their everlasting friendship in “COSMOPOLITAN” pictorial -- http://aegyo.me/5HpY  pic.twitter.com/Znt3xWKmKd
Tue Aug 18 19:49:17 PDT 2015 --  [2015 Marie Claire Korea] Yoochun Interviewhttp://goo.gl/WQEfFd  pic.twitter.com/hGmOsBJC2r
Tue Aug 18 16:35:54 PDT 2015 --  Morning *wants to sleep more*
Tue Aug 18 14:12:10 PDT 2015 --  G-Dragon thanks fans for the birthday wishes with adorable baby photo -- http://aegyo.me/5HpR  pic.twitter.com/YuX5whtohz
Tue Aug 18 13:32:44 PDT 2015 --  K-pop's 10 best idol group debuts http://www.allkpop.com/article/2015/08/k-pops-10-best-idol-group-debuts … pic.twitter.com/avumFRqU3x
Tue Aug 18 13:01:44 PDT 2015 --  Lee Hyun Woo spends his 10th anniversary with fans http://www.allkpop.com/article/2015/08/lee-hyun-woo-spends-his-10th-anniversary-with-fans … pic.twitter.com/4A3L7b1Lv7
Tue Aug 18 12:11:03 PDT 2015 --  Ice cream Sandwiches With Krispy Kreme Donuts. ' pic.twitter.com/uXeUk0IIQR
Tue Aug 18 12:10:16 PDT 2015 --  Maybe. pic.twitter.com/WkfNUsSBM7
Tue Aug 18 07:51:31 PDT 2015 --  [K-POP Rank] Takjub Atas Kepopuleran TVXQ & JYJ di “Fire Power of Male Idol Group’s Concert” https://cassindofficial.wordpress.com/2015/08/18/k-pop-rank-takjub-atas-kepopuleran-tvxq-jyj-di-fire-power-of-male-idol-groups-concert/ … pic.twitter.com/RqtjBju9Mg
Tue Aug 18 07:07:08 PDT 2015 --  Ih mantu masuk *colek @shRa554* dan jack, feya, asuka jg msk wwwwww https://twitter.com/Koreaboo/status/633639824210001925 …
Tue Aug 18 06:34:55 PDT 2015 --  Idol-turned-actress Jiyoung says her ultimate goal is Hollywood http://www.allkpop.com/article/2015/08/idol-turned-actress-jiyoung-says-her-ultimate-goal-is-hollywood … pic.twitter.com/9h8zZz8Uz6
Tue Aug 18 06:51:42 PDT 2015 --  [Screenshoot] Udah lihat Videonya? Gimana menurut kalian changmin begini. Udah cocok debut jadi Girlgrup baru? pic.twitter.com/whiMfjl0VP
Tue Aug 18 06:33:34 PDT 2015 --  Sejauh ini user paling baik dan sabar menurut gue, Yamashina-san huhuhu... paling ga sabar Maeda-san :|
Tue Aug 18 06:11:00 PDT 2015 --  [Pics] 150818 Junsu – Incheon Airport https://pinkrazy.wordpress.com/2015/08/18/pics-150818-junsu-incheon-airport/ … pic.twitter.com/rXN5EfPKul
Tue Aug 18 05:45:36 PDT 2015 --  ------dia berandai-andai seandainya indonesia-jepang gue pun sama bagusnya wwwwwwww maapin aku bos =))
Tue Aug 18 05:45:02 PDT 2015 --  Sebenarnya hari ini agak seneng di kantor. Bos user gue bilang gue bagus interpreter-in inggris ke indonesia. Tapi------
Tue Aug 18 05:17:06 PDT 2015 --  Ngumpulin mood buat baca fanfic lagi susah banget deh
Tue Aug 18 04:39:57 PDT 2015 --  Panasnya jakarta =3=
Tue Aug 18 04:14:44 PDT 2015 --  Semoga kaki gue kuat
Tue Aug 18 02:43:29 PDT 2015 --  [PHOTOS] 150818 C-JeS Instagram Update http://bit.ly/1JnSrMZ  pic.twitter.com/h1TG4UgJND
